,Alecia,Devante,Foxtrot Tango,Halwes,Mohinga Chase
11-01-2023 12:30:34.092922,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(17.0, 48.0, 28.3125)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:35.122983,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(17.0, 48.0, 28.3125)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:36.129491,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 28.3125)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:37.060677,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 28.3125)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:37.971107,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 28.3125)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:38.924709,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:39.899343,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:40.824654,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:41.667049,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
11-01-2023 12:30:42.689595,"(4.6, 7.6, 4.96)","(1.85, 2.42, 1.986451612903226)","(18.0, 48.0, 31.200000000000003)","(3.5, 6.2, 3.644642857142857)","(6.5, 16.5, 11.45)"
