,Chillout Cookie,Shim Girl,Coach Beard,Inga Zach,Foxtrot Tango,Go Gigi Go,Inga Lenny
14-12-2022 13:46:00.350524,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:01.487288,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:02.632391,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 17.3375)","(18.0, 60.0, 41.875)"
14-12-2022 13:46:03.759152,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:04.875347,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:05.897167,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:06.891093,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:07.893201,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:08.861557,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:09.786545,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:10.800143,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:11.982239,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:13.261589,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:14.360500,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:15.492329,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:16.486954,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:17.551557,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:18.644536,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:19.726188,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:20.878577,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:22.066131,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:23.161250,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:24.210854,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:25.272848,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:26.259231,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.65090909090909)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:27.435146,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:28.605993,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:29.589181,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:30.627291,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:31.657982,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.146153846153847)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:32.856696,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:34.080970,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:35.065784,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:36.129708,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:37.210463,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
14-12-2022 13:46:38.243426,"(3.9, 6.2, 5.886956521739131)","(6.5, 12.0, 10.405714285714286)","(3.9, 6.6, 5.744262295081967)","(6.0, 12.5, 10.615625)","(3.1, 6.0, 3.7319999999999998)","(10.0, 18.5, 15.466666666666667)","(18.0, 60.0, 33.125)"
