,Hartley Bale,Bollard Bobby,Line And Length,Bank On Frankie,Victory Heist,Aston Stout
09-01-2023 16:47:51.417043,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:52.363024,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:53.351042,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:54.543904,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:55.598140,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:56.579000,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:57.740907,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:47:58.875161,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:00.022843,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:01.042827,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:02.031570,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:03.117794,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:04.220407,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:05.338819,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 10.333333333333334)","(5.0, 9.4, 6.25)","(19.0, 55.0, 34.16666666666667)","(3.5, 5.6, 3.9499999999999997)"
09-01-2023 16:48:06.466919,"(1.8, 2.6, 1.8971428571428572)","(15.0, 48.0, 40.0)","(8.0, 15.0, 9.0)","(5.0, 9.4, 6.25)","(19.0, 55.0, 28.090909090909093)","(3.5, 5.6, 3.9499999999999997)"
