,Daddysruby,Carmel By The Sea,Forever Lovely,Blazin Bae,Vintage,Lady Of The Light,Like No Other,Rose Of Mooncoin,Fourth Street,Smile And Profile
08-01-2023 09:27:46.109329,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:47.213096,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:48.316915,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:49.404542,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:50.511164,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:51.592779,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:52.699507,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:53.769667,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:54.874776,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:55.959088,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:57.053969,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:58.154756,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:27:59.236438,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:00.338408,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:01.447086,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:02.552649,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:03.644325,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:04.733441,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:05.839555,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:06.909685,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:08.011863,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:09.109038,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:10.204336,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:11.277467,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:12.376266,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:13.468850,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:14.587934,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:15.668150,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:16.784946,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:17.863248,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:18.967345,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:20.044374,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:21.176144,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:22.265441,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:23.379262,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:24.494044,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:25.592093,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:26.693016,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:27.797340,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:28.902749,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:30.002847,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:31.108319,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:32.242594,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:33.332959,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:34.427060,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:35.576409,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:36.660230,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:37.751278,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:38.834698,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:39.937350,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:41.243234,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:42.677088,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:43.779778,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:44.884933,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:45.984561,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:47.093138,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:48.187590,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:49.282098,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:50.405385,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:51.510959,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:52.610132,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:53.706741,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:54.809697,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:55.893678,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:56.987768,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:58.097958,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:28:59.212791,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:00.295682,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:01.390661,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:02.503814,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:03.602633,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:04.706789,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:05.803675,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:06.916576,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:08.034996,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:09.131629,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:10.249235,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:11.357303,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:12.444089,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:13.625245,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:14.780947,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:16.037831,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:17.314597,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:18.423412,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(7.0, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.0, 99999, 99990)"
08-01-2023 09:29:19.503985,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(6.5, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:29:20.608976,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(6.5, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:29:21.751216,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(6.5, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:29:22.854828,"(13.0, 99999, 99990)","(6.5, 99999, 99990)","(41.0, 99999, 99990)","(31.0, 99999, 99990)","(6.5, 99999, 99990)","(21.0, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(2.8, 99999, 99990)","(8.5, 99999, 99990)"
