,Daddysruby,Carmel By The Sea,Forever Lovely,Blazin Bae,Vintage,Lady Of The Light,Like No Other,Rose Of Mooncoin,Fourth Street,Smile And Profile
08-01-2023 09:19:20.684152,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:21.787320,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:22.871621,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:23.980199,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:25.055735,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:26.155562,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:27.233936,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:28.339395,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:29.445146,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:19:30.544479,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
