,Homebush Jessie,Tornado Trump,Silky Skylar,Mitcham Dodger,Homebush Solo,Torpedo Bay,Lightfoot Luna,Smash Talk
0,"[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 16, 855655), 7.5, 24.0]"
1,"[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 17, 997592), 7.5, 24.0]"
2,"[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 19, 137869), 7.5, 24.0]"
3,"[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 20, 278387), 7.5, 24.0]"
4,"[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 21, 416270), 7.5, 24.0]"
5,"[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 22, 556993), 7.5, 24.0]"
6,"[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 23, 695981), 7.5, 24.0]"
7,"[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 24, 850852), 7.5, 24.0]"
8,"[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 25, 991648), 7.5, 24.0]"
9,"[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 27, 141789), 7.5, 24.0]"
10,"[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 28, 279401), 7.5, 24.0]"
11,"[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 29, 421315), 7.5, 24.0]"
12,"[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 4.8, 17.5]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 13.0, 60.0]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 1.85, 3.1]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 21.0, 210.0]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 7.5, 26.0]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 9.0, 36.0]","[datetime.datetime(2022, 11, 28, 9, 54, 30, 556619), 7.5, 24.0]"
