,Im Indigo,Moyarra Minstrel,Bushmans Prayer,Bold Linda,Honest Thief,Chappys Cosmog,Kraken Skye,Dark Krystal
15-12-2022 12:05:47.521877,"(5.5, 8.0, 6.681818181818182)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.044444444444444)","(3.6, 6.0, 5.428571428571429)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:48.600797,"(5.5, 8.2, 5.945454545454545)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.830769230769231)","(3.6, 6.0, 4.366666666666666)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:49.859092,"(5.5, 8.2, 6.194117647058823)","(14.0, 30.0, 24.0)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9666666666666663)","(3.6, 6.0, 5.314285714285715)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:51.016442,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 5.314285714285715)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:52.084989,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 5.314285714285715)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:53.214149,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 4.366666666666666)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:54.307610,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 4.366666666666666)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:55.556004,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 5.0600000000000005)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:56.644479,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9076923076923076)","(3.6, 6.0, 5.0600000000000005)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:57.791830,"(5.5, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9846153846153842)","(3.6, 6.0, 5.0600000000000005)","(7.5, 16.5, 12.95)"
15-12-2022 12:05:59.073235,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 26.333333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9846153846153842)","(3.6, 6.0, 5.0600000000000005)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:00.277070,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9846153846153842)","(3.6, 6.0, 5.0600000000000005)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:01.364238,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.9846153846153842)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:02.435442,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.1)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:03.410564,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.1)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:04.412266,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.1)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:05.389819,"(5.0, 8.2, 6.194117647058823)","(14.0, 32.0, 28.727272727272727)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 3.941176470588235)","(3.6, 6.0, 5.0600000000000005)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:06.421403,"(5.0, 8.2, 5.945454545454545)","(14.0, 30.0, 27.090909090909093)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.0473684210526315)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:07.390113,"(5.0, 8.2, 5.945454545454545)","(14.0, 30.0, 27.090909090909093)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.0473684210526315)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:08.335390,"(5.0, 8.2, 5.945454545454545)","(14.0, 30.0, 27.090909090909093)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.0473684210526315)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:09.424744,"(5.0, 8.2, 6.194117647058823)","(14.0, 30.0, 26.8)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.266666666666667)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:10.534242,"(5.0, 8.2, 6.194117647058823)","(14.0, 30.0, 27.090909090909093)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.266666666666667)","(3.6, 6.0, 5.342857142857143)","(7.0, 16.5, 12.95)"
15-12-2022 12:06:11.656582,"(5.0, 8.2, 6.194117647058823)","(14.0, 30.0, 27.090909090909093)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.133333333333333)","(3.6, 6.0, 5.314285714285715)","(7.0, 16.5, 11.04)"
15-12-2022 12:06:12.910353,"(5.0, 8.2, 6.194117647058823)","(14.0, 30.0, 27.53846153846154)","(7.0, 10.0, 8.8)","(7.5, 13.5, 11.86)","(18.0, 60.0, 37.22222222222222)","(3.4, 4.6, 4.155555555555555)","(3.6, 6.0, 5.314285714285715)","(7.0, 16.5, 13.599999999999998)"
15-12-2022 12:06:14.050256,"(5.0, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.385714285714286)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.155555555555555)","(3.6, 6.0, 5.216666666666667)","(7.0, 16.5, 13.599999999999998)"
15-12-2022 12:06:15.066805,"(5.5, 8.2, 6.0)","(14.0, 30.0, 24.833333333333336)","(7.0, 10.0, 8.8)","(7.5, 13.5, 12.385714285714286)","(19.0, 60.0, 37.5)","(3.4, 4.6, 4.133333333333333)","(3.6, 6.0, 5.216666666666667)","(7.0, 16.5, 13.599999999999998)"
