,Always Sometimes,Famous Prince,King Fox,Mr Nafplion,Quietly Spoken,Right Turn,Superb Time,Batting Above,Monseagle,Divine Journey
07-12-2022 14:26:30.643343,"(16.0, 22.0, 20.736842105263158)","(4.2, 4.9, 4.707509881422925)","(101.0, 480.0, 463.33333333333337)","(8.5, 11.5, 10.583333333333334)","(81.0, 140.0, 126.3157894736842)","(31.0, 70.0, 61.935483870967744)","(101.0, 330.0, 317.3333333333333)","(21.0, 34.0, 32.76923076923077)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8614925373134326)"
07-12-2022 14:26:32.012471,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.707630522088354)","(101.0, 480.0, 463.33333333333337)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.76923076923077)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8586206896551722)"
07-12-2022 14:26:33.339084,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.707630522088354)","(101.0, 480.0, 463.33333333333337)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:34.612333,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.707509881422925)","(101.0, 480.0, 463.33333333333337)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.666666666666664)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:35.998480,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.707509881422925)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 327.85714285714283)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:37.390123,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.705737704918033)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 330.0, 327.85714285714283)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:38.723418,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.705737704918033)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 330.0, 327.85714285714283)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:39.974351,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.705737704918033)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 126.3157894736842)","(31.0, 70.0, 61.935483870967744)","(101.0, 330.0, 327.85714285714283)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:41.246060,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.705737704918033)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 126.3157894736842)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:42.481449,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.705737704918033)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 126.3157894736842)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8561194029850747)"
07-12-2022 14:26:43.644436,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8586206896551722)"
07-12-2022 14:26:44.834076,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.309615384615385)","(2.6, 2.88, 2.8566037735849057)"
07-12-2022 14:26:46.102994,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.315625)","(2.6, 2.88, 2.8566037735849057)"
07-12-2022 14:26:47.415035,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 317.3333333333333)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.319230769230769)","(2.6, 2.88, 2.8566037735849057)"
07-12-2022 14:26:48.743198,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 320.0, 328.06451612903226)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.320833333333333)","(2.6, 2.88, 2.8566037735849057)"
07-12-2022 14:26:50.153102,"(16.0, 22.0, 20.75)","(4.2, 4.8, 4.650162866449511)","(101.0, 480.0, 455.0)","(8.5, 11.5, 11.225)","(81.0, 140.0, 127.5)","(31.0, 70.0, 61.935483870967744)","(101.0, 330.0, 328.06451612903226)","(21.0, 34.0, 32.476190476190474)","(3.8, 4.4, 4.320833333333333)","(2.6, 2.88, 2.8566037735849057)"
