,Zipping Glamour,Venom Encounter,Wow Shes Sweet,Black Redeemer,Susie Zeus,Tick It Off,Lady Marcella
10-01-2023 13:27:39.224264,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.628125)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:40.294135,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.628125)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:41.337038,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.628125)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:42.488994,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:43.599764,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:44.689420,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:45.759799,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:46.761522,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:47.843522,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:48.923680,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:49.964690,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:50.979614,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:51.985151,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:53.079669,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:54.195230,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:55.485201,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:57.129891,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:27:58.524298,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:00.136269,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:01.373756,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:02.620658,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:03.755677,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:04.861635,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:05.994330,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:07.090770,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:08.209968,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:09.362710,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:10.629167,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:11.784444,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:12.904048,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:13.976196,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:14.988391,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:16.165318,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:17.367177,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:18.436779,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:19.506601,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
10-01-2023 13:28:20.614564,"(5.5, 9.4, 6.04)","(61.0, 520.0, 468.8888888888889)","(2.4, 3.95, 2.604090909090909)","(3.6, 7.0, 5.036206896551724)","(17.0, 55.0, 28.090909090909093)","(17.0, 46.0, 25.272727272727273)","(3.3, 5.0, 3.6222222222222222)"
