,Crispy Pie,Taking A Toll,Monkeys Style,Real Mickoy,French Wood,Sweet Lola,Kouta Marjen
08-12-2022 14:10:56.127264,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:10:57.299068,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:10:58.523810,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:10:59.614760,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:00.594152,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:01.668495,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:02.731425,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:03.826402,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:04.882259,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:05.874833,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:06.872368,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.395)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:07.945637,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:09.062753,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:10.111719,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
08-12-2022 14:11:11.069470,"(8.5, 17.5, 13.9375)","(11.0, 32.0, 25.28125)","(4.4, 6.8, 6.4399999999999995)","(3.4, 5.3, 4.157142857142857)","(4.2, 7.2, 5.8845238095238095)","(10.0, 24.0, 19.5)","(4.2, 6.4, 6.055)"
