,Tuta Mimosa,Quick Cash,Black Patch,Austrian Beauty,Giddey Keats,Heres Caza,Sassy Boo
14-12-2022 13:41:01.275122,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:02.643282,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:03.890107,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:05.279090,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:06.481515,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:07.637393,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:09.259363,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:10.854219,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:12.317692,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:13.728472,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:15.208772,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:16.582147,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:18.053228,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:19.354183,"(13.0, 32.0, 28.636363636363637)","(2.15, 2.6, 2.315)","(7.0, 13.5, 12.120000000000001)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:20.693039,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 9.15)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:21.961668,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:23.201363,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:24.662682,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:25.985098,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
14-12-2022 13:41:27.459799,"(13.0, 32.0, 20.333333333333332)","(2.2, 2.6, 2.315)","(7.0, 13.5, 11.266666666666666)","(41.0, 390.0, 137.14285714285714)","(2.5, 5.7, 3.7869565217391306)","(6.0, 13.0, 11.46)","(31.0, 310.0, 169.5)"
