,Aramoana,Sinha Man,Lonely Gemma,Smash Wave,Made The Cut,Homebush Honey,Dispute Or Not,Lucas Jewel
12-01-2023 13:12:06.476171,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:07.617803,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:08.846376,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:10.127738,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:11.316813,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:12.570023,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:13.825450,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:15.050246,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:16.312231,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:17.489329,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:18.594345,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:19.867245,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:21.117079,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:22.418973,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:23.716617,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
12-01-2023 13:12:25.112220,"(4.4, 6.8, 5.24)","(5.0, 10.5, 7.7)","(31.0, 340.0, 210.41666666666669)","(4.0, 6.4, 5.63)","(4.2, 11.5, 8.32857142857143)","(14.0, 32.0, 29.3125)","(5.5, 8.6, 8.072)","(8.0, 19.0, 18.213333333333335)"
