,Applicant,Torpedo Tears,Providence Bale,Balbina Bale,Rosies No Angel,Modern Collinda,Jigglypuff
07-01-2023 19:20:52.515971,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:53.725204,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:55.070563,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:56.319346,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:57.506283,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:58.636985,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:20:59.753325,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:00.885495,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:02.075939,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:03.209096,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:04.400119,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 54.375)","(7.5, 15.0, 9.8)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:05.549234,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:06.558229,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
07-01-2023 19:21:07.694440,"(2.25, 3.1, 3.0680966767371602)","(16.0, 60.0, 48.875)","(7.5, 15.0, 12.4)","(8.0, 14.5, 14.31081081081081)","(3.8, 8.0, 5.8)","(5.0, 8.8, 8.689908256880734)","(17.0, 70.0, 67.84615384615384)"
