,Bradman Best,Cherokee Outlaw,Zulu Boy,Sketchy Zara,Murphey,Fab Two Times
09-01-2023 17:22:24.991963,"(3.2, 5.7, 4.56)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:26.112792,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:27.210671,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:28.544523,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:29.586054,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:30.673709,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:31.737364,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:32.940486,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:34.091299,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:35.289216,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:36.680142,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:37.858242,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:39.122460,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:40.347534,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
09-01-2023 17:22:41.491146,"(3.2, 5.7, 4.75)","(1.6, 2.22, 1.9500000000000002)","(51.0, 390.0, 218.0)","(61.0, 500.0, 144.0)","(7.5, 13.5, 13.175)","(6.5, 13.0, 12.142857142857142)"
