,Archbishop,Avancer,Dumpus,Prince Carlos,Threetimeslucky,Yazh,Salt City,Super Mind,Cheeky Secrets,Harpers Jewel,Billabull,I Told Rubick
12-01-2023 14:24:59.403264,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.7, 4.611111111111111)","(6.0, 10.0, 8.666666666666666)","(3.5, 6.0, 5.544444444444444)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:00.889260,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.7, 4.733333333333333)","(6.0, 10.0, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:02.312417,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:03.762623,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:05.156911,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:06.716781,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 39.22222222222222)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:08.153892,"(14.0, 28.0, 21.5)","(20.0, 120.0, 37.64705882352941)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 110.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:09.963474,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 37.529411764705884)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:11.659728,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 110.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:13.367273,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:14.998076,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 160.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:16.742219,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 8.338461538461539)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 160.0, 81.14285714285714)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:18.297136,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.8, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 160.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:19.756582,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:21.292150,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:22.781999,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:24.272602,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:25.815176,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:27.234792,"(14.0, 28.0, 21.5)","(20.0, 140.0, 50.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:28.725082,"(14.0, 28.0, 21.5)","(20.0, 140.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 86.80000000000001)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:30.207756,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(18.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:31.855021,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:33.503181,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:35.103239,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:36.619008,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:38.173653,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
12-01-2023 14:25:39.673298,"(14.0, 28.0, 21.5)","(20.0, 150.0, 98.0)","(3.8, 5.6, 4.733333333333333)","(6.0, 9.6, 9.2)","(3.5, 6.0, 4.975)","(61.0, 230.0, 200.83333333333334)","(10.0, 17.0, 14.333333333333334)","(71.0, 230.0, 201.66666666666666)","(19.0, 130.0, 58.0)","(5.0, 7.4, 6.823076923076924)","(18.0, 130.0, 82.42857142857143)","(26.0, 180.0, 87.6)"
