,Little Franky,Somersby,Sapphire Pixie,Oh Louise,Rolling Riot,Mac Frenzy
11-01-2023 11:55:26.164622,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.505)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:27.051006,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.4951219512195122)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:27.913881,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.4951219512195122)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:28.827657,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.4951219512195122)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:29.881054,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.4951219512195122)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:30.856194,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.4951219512195122)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:31.854056,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.505)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:32.788112,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.505)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:33.672152,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.5053488372093022)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:34.573346,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.5053488372093022)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:35.411564,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.51, 1.5052380952380953)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:36.326026,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.498974358974359)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:37.269125,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.5, 1.498974358974359)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:38.214449,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.49, 1.4865116279069768)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:39.189854,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4794871794871796)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:40.145958,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4794285714285713)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:41.103137,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4794285714285713)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:41.978831,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4794285714285713)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.0)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:42.835433,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4794285714285713)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 6.9)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:43.686166,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4793749999999999)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:44.545202,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4793749999999999)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:45.479220,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4793333333333334)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:46.426370,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4793333333333334)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:47.350187,"(8.0, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4793333333333334)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:48.343502,"(8.5, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4792592592592593)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:49.270280,"(8.5, 16.0, 14.636363636363637)","(1.4, 1.48, 1.4792592592592593)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:50.168657,"(8.5, 16.0, 15.0)","(1.4, 1.48, 1.4792592592592593)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:51.047564,"(8.5, 16.0, 15.0)","(1.4, 1.48, 1.479090909090909)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.042857142857143)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:51.929368,"(8.5, 16.0, 15.0)","(1.4, 1.48, 1.479090909090909)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 6.828571428571428)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:52.825244,"(8.5, 16.0, 15.0)","(1.4, 1.48, 1.479090909090909)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.114285714285715)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
11-01-2023 11:55:53.752175,"(8.5, 16.0, 15.0)","(1.4, 1.48, 1.479090909090909)","(41.0, 70.0, 58.85714285714286)","(4.0, 7.4, 7.114285714285715)","(21.0, 42.0, 29.75)","(10.0, 17.0, 14.576923076923077)"
