,Blue Cod,Barry Bowler,Sweet Silver,Big Time Dora,Big Time Gift,Bounty Hunter,Jay Jay Go
16-12-2022 11:54:31.250170,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 4.94)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:32.272519,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.94)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:33.297986,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 5.046666666666667)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:34.407872,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 5.046666666666667)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:35.540669,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 5.046666666666667)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:36.514883,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 5.046666666666667)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:37.540161,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 5.046666666666667)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:38.515237,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.94)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:39.615852,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.94)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 17.925)"
16-12-2022 11:54:40.693198,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.94)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.85)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:41.721095,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.800000000000001)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.095454545454546)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:42.673049,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.800000000000001)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:43.712045,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.892307692307693)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:44.656552,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 4.892307692307693)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:45.663767,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 4.892307692307693)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:46.772909,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 4.892307692307693)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:47.783608,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.2, 4.800000000000001)","(8.0, 26.0, 24.450000000000003)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
16-12-2022 11:54:48.762121,"(19.0, 160.0, 60.65384615384615)","(3.6, 6.4, 4.892307692307693)","(8.0, 26.0, 23.285714285714285)","(3.0, 4.8, 4.118181818181818)","(3.2, 6.4, 4.875)","(19.0, 170.0, 63.73076923076923)","(6.0, 22.0, 18.478260869565215)"
