,Elegantly Wasted,Thumbs Up,Love Letter,Farmor Smitten,Nothing Matters,Butterfly Bloom,Yumar,Flying Yumi
14-12-2022 14:38:51.159640,"(6.0, 8.0, 6.155555555555556)","(2.3, 2.76, 2.532)","(31.0, 70.0, 43.64285714285714)","(4.6, 8.0, 7.142857142857142)","(5.5, 7.0, 5.909090909090909)","(5.5, 17.5, 14.75)","(12.0, 42.0, 26.727272727272727)","(41.0, 240.0, 200.0)"
14-12-2022 14:38:52.579923,"(6.0, 8.2, 6.155555555555556)","(2.3, 2.54, 2.532)","(31.0, 70.0, 43.64285714285714)","(4.6, 8.0, 7.142857142857142)","(5.5, 7.0, 5.909090909090909)","(5.5, 16.5, 14.75)","(12.0, 42.0, 28.875)","(41.0, 240.0, 200.0)"
14-12-2022 14:38:54.170568,"(6.0, 8.2, 6.846153846153846)","(2.3, 2.54, 2.5228571428571427)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.65)","(5.5, 7.0, 5.909090909090909)","(5.5, 16.5, 14.75)","(12.0, 42.0, 28.875)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:38:55.634433,"(6.0, 8.2, 6.6)","(2.3, 2.54, 2.5269767441860465)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.3999999999999995)","(5.5, 7.0, 5.909090909090909)","(5.5, 16.5, 14.75)","(12.0, 42.0, 28.875)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:38:57.555798,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.519375)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.7272727272727275)","(5.5, 7.0, 6.0625)","(5.5, 16.5, 14.75)","(12.0, 42.0, 29.5)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:38:58.997890,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.528888888888889)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.7272727272727275)","(5.5, 7.0, 5.76)","(5.5, 16.5, 14.75)","(12.0, 42.0, 31.444444444444443)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:00.530289,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.528888888888889)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.7272727272727275)","(5.5, 6.8, 5.76)","(5.5, 16.5, 14.75)","(12.0, 42.0, 32.333333333333336)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:02.089739,"(6.0, 8.2, 7.092307692307692)","(2.3, 2.54, 2.526666666666667)","(31.0, 70.0, 46.0)","(4.6, 8.0, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 16.5, 14.75)","(12.0, 44.0, 32.333333333333336)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:03.610872,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.528)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 16.5, 16.625)","(12.0, 44.0, 32.333333333333336)","(41.0, 240.0, 220.20000000000002)"
14-12-2022 14:39:05.079613,"(6.0, 8.2, 7.3)","(2.3, 2.54, 2.531219512195122)","(31.0, 70.0, 46.0)","(4.6, 8.2, 7.788235294117646)","(5.5, 6.8, 5.76)","(5.5, 17.5, 15.5)","(12.0, 44.0, 30.0)","(41.0, 240.0, 220.20000000000002)"
