,Hands On Nz,Kissmelvis,Western Style,Cool Rocking Daddy,Mymatepog,Tasty Delight,The Stain,Dance For Glory,Mustang Milly
07-01-2023 20:28:08.260596,"(51.0, 99999, 99990)","(10.0, 22.0, 20.46666666666667)","(5.5, 10.5, 8.46)","(21.0, 65.0, 57.0)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 80.0)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:09.766047,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 10.5, 8.46)","(21.0, 65.0, 54.82608695652174)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 80.0)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:11.275694,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 10.5, 8.46)","(21.0, 75.0, 54.82608695652174)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 80.0)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:12.872644,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 10.5, 8.46)","(21.0, 75.0, 54.82608695652174)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 80.0)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:14.369446,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 10.5, 8.46)","(21.0, 75.0, 41.57142857142857)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 80.0)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:15.849865,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 10.5, 9.975)","(21.0, 75.0, 41.57142857142857)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 150.0, 78.5)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:17.314501,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 9.975)","(21.0, 75.0, 52.16666666666667)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.86)","(17.0, 22.0, 19.666666666666668)","(41.0, 200.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:18.662105,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 9.975)","(21.0, 70.0, 58.07142857142857)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 3.753333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:19.942309,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 9.975)","(21.0, 65.0, 58.07142857142857)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 3.753333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:21.078417,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 3.753333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:22.262179,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 3.753333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:23.558162,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 129.2)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:24.992819,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:26.249077,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:27.469270,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:28.766053,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:30.055912,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:31.362903,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:32.715171,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:34.029031,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:35.339063,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:36.659868,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:37.986729,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:39.316746,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:40.573739,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:41.943634,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:43.224824,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:44.523536,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
07-01-2023 20:28:45.809511,"(51.0, 99999, 99990)","(10.0, 26.0, 20.46666666666667)","(5.5, 11.5, 8.45)","(21.0, 60.0, 33.9)","(4.4, 5.9, 5.366666666666667)","(1.95, 3.9, 2.913333333333333)","(17.0, 22.0, 19.666666666666668)","(41.0, 190.0, 131.6)","(8.0, 17.0, 12.7)"
