,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:24:08.605184,"(3.5, 5.5, 5.311111111111111)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.68, 2.3200000000000003)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 27.875)"
07-01-2023 17:24:09.723291,"(3.5, 5.5, 5.311111111111111)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.68, 2.3200000000000003)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 27.875)"
07-01-2023 17:24:10.646217,"(3.5, 5.1, 4.7043478260869565)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.68, 2.3200000000000003)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 27.875)"
07-01-2023 17:24:11.616383,"(3.5, 5.1, 4.127777777777778)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.68, 2.3200000000000003)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 24.909090909090907)"
07-01-2023 17:24:12.633267,"(3.5, 5.1, 4.1899999999999995)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.68, 2.3200000000000003)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 24.909090909090907)"
07-01-2023 17:24:13.740533,"(3.5, 5.1, 4.05)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.7, 2.3266666666666667)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 24.909090909090907)"
07-01-2023 17:24:14.814221,"(3.5, 5.1, 4.373076923076923)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.7, 2.3266666666666667)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 24.909090909090907)"
07-01-2023 17:24:16.076858,"(3.5, 5.1, 4.373076923076923)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.7, 2.171111111111111)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 24.909090909090907)"
07-01-2023 17:24:17.295183,"(3.5, 5.1, 4.621052631578947)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.42, 2.171111111111111)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 26.0)"
07-01-2023 17:24:18.572870,"(3.5, 5.1, 4.225)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.7, 2.1654545454545455)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(16.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:19.539339,"(3.5, 5.1, 4.639473684210526)","(11.0, 23.0, 18.80952380952381)","(1.85, 2.7, 2.3895652173913042)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:20.503219,"(3.5, 5.1, 4.373076923076923)","(11.0, 22.0, 19.666666666666668)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:21.455901,"(3.5, 5.1, 4.373076923076923)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:22.485105,"(3.5, 5.1, 4.621052631578947)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:23.517039,"(3.5, 5.1, 4.544117647058823)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:24.421052,"(3.5, 5.1, 4.686363636363636)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:25.414229,"(3.5, 5.1, 4.686363636363636)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:26.395530,"(3.5, 5.1, 4.686363636363636)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
07-01-2023 17:24:27.429945,"(3.5, 5.1, 4.686363636363636)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.2866666666666666)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 26.0)"
