,Mr Mischief,Havisham,Saint Ay,Costero,Jumpin Jaguar,Mayksumnoise,Sorokin,There For You,Fighting Sweet,Peace Process,Under The Pump,Arlington Valley
07-01-2023 14:09:16.981311,"(4.6, 5.3, 5.188235294117647)","(2.9, 3.55, 3.5)","(8.5, 11.0, 10.238095238095237)","(5.5, 7.8, 7.530769230769231)","(14.0, 18.5, 17.0)","(19.0, 29.0, 27.75)","(41.0, 100.0, 85.14285714285714)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(14.0, 18.5, 17.5)","(31.0, 46.0, 45.38461538461539)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:18.806599,"(4.6, 5.3, 5.0473684210526315)","(2.9, 3.2, 3.1285714285714286)","(8.5, 11.0, 10.2)","(5.5, 7.8, 7.44)","(14.0, 18.5, 18.105263157894736)","(19.0, 29.0, 28.583333333333336)","(41.0, 100.0, 75.0)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(14.0, 18.5, 17.5)","(31.0, 46.0, 45.2)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:20.524524,"(4.6, 5.3, 5.0473684210526315)","(2.9, 3.2, 3.1285714285714286)","(8.5, 11.0, 10.2)","(5.5, 7.8, 7.44)","(14.0, 18.5, 18.105263157894736)","(19.0, 29.0, 28.583333333333336)","(41.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(14.0, 18.5, 17.5)","(31.0, 46.0, 45.38461538461539)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:22.219959,"(4.6, 5.3, 5.091304347826087)","(2.9, 3.2, 3.1285714285714286)","(8.5, 11.0, 10.2)","(5.5, 7.8, 7.745454545454545)","(14.0, 18.5, 17.5)","(19.0, 29.0, 28.583333333333336)","(41.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(14.0, 18.5, 17.666666666666668)","(31.0, 46.0, 45.2)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:23.967411,"(4.6, 5.3, 5.13157894736842)","(2.9, 3.2, 3.1583333333333337)","(8.5, 11.0, 10.806451612903226)","(5.5, 7.8, 7.725)","(13.0, 18.5, 17.46153846153846)","(19.0, 29.0, 28.583333333333336)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.666666666666668)","(31.0, 46.0, 45.2)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:25.712545,"(4.6, 5.3, 5.13157894736842)","(2.9, 3.2, 3.1500000000000004)","(8.5, 11.0, 11.272727272727273)","(5.5, 7.8, 7.776)","(13.0, 18.5, 17.375)","(19.0, 29.0, 27.666666666666668)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.666666666666668)","(31.0, 46.0, 45.2)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:27.395986,"(4.6, 5.3, 5.13157894736842)","(2.9, 3.2, 3.1500000000000004)","(8.5, 12.5, 11.06)","(5.5, 7.8, 7.666666666666667)","(13.0, 18.5, 17.375)","(19.0, 29.0, 26.458333333333332)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.666666666666668)","(31.0, 46.0, 45.2)","(101.0, 180.0, 150.0)"
07-01-2023 14:09:29.033742,"(4.6, 5.3, 5.127272727272727)","(2.9, 3.2, 3.1500000000000004)","(8.5, 12.5, 11.15)","(5.5, 7.8, 7.666666666666667)","(13.0, 18.5, 17.375)","(19.0, 32.0, 26.458333333333332)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.923076923076923)","(31.0, 46.0, 45.2)","(101.0, 180.0, 150.0)"
07-01-2023 14:09:30.714150,"(4.6, 5.3, 5.127272727272727)","(2.9, 3.2, 3.1932432432432436)","(8.5, 12.5, 11.15)","(5.5, 7.8, 7.5)","(13.0, 18.5, 17.375)","(19.0, 32.0, 26.458333333333332)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.923076923076923)","(31.0, 46.0, 45.2)","(101.0, 180.0, 150.0)"
07-01-2023 14:09:32.242441,"(4.6, 5.3, 5.186567164179104)","(2.9, 3.2, 3.1932432432432436)","(8.5, 12.5, 11.15)","(5.5, 7.8, 7.5)","(13.0, 18.5, 17.375)","(19.0, 32.0, 26.458333333333332)","(31.0, 100.0, 85.71428571428572)","(26.0, 34.0, 33.333333333333336)","(13.0, 17.5, 16.75)","(15.0, 18.5, 17.923076923076923)","(31.0, 46.0, 45.38461538461539)","(101.0, 180.0, 154.28571428571428)"
07-01-2023 14:09:33.820583,"(4.6, 5.3, 5.205882352941177)","(2.9, 3.0, 2.9802072538860105)","(8.5, 12.5, 11.58)","(5.5, 7.8, 7.666666666666667)","(13.0, 18.5, 17.576923076923077)","(19.0, 32.0, 26.857142857142858)","(31.0, 100.0, 90.30000000000001)","(26.0, 34.0, 35.0)","(13.0, 17.5, 17.25)","(15.0, 18.5, 20.125)","(31.0, 46.0, 44.4)","(101.0, 180.0, 155.0)"
07-01-2023 14:09:35.318818,"(4.6, 5.3, 5.052941176470588)","(2.9, 2.98, 2.9695652173913043)","(8.5, 12.5, 11.362068965517242)","(5.5, 7.8, 7.6909090909090905)","(13.0, 18.5, 18.0)","(19.0, 32.0, 28.142857142857142)","(31.0, 95.0, 90.54545454545455)","(26.0, 40.0, 37.333333333333336)","(13.0, 18.0, 17.684210526315788)","(15.0, 21.0, 20.0)","(31.0, 46.0, 44.4)","(101.0, 180.0, 155.0)"
07-01-2023 14:09:36.721525,"(4.6, 5.3, 5.0375)","(2.9, 2.98, 2.969333333333333)","(8.5, 12.5, 11.321428571428571)","(5.5, 7.8, 7.6909090909090905)","(13.0, 18.5, 18.0)","(19.0, 32.0, 28.142857142857142)","(31.0, 100.0, 90.54545454545455)","(26.0, 40.0, 37.333333333333336)","(13.0, 18.0, 17.684210526315788)","(15.0, 21.0, 20.0)","(31.0, 46.0, 44.4)","(101.0, 180.0, 155.0)"
07-01-2023 14:09:38.203783,"(4.6, 5.3, 4.957142857142857)","(2.9, 3.05, 3.004368932038835)","(8.5, 12.5, 11.277777777777779)","(5.5, 7.8, 7.666666666666666)","(13.0, 18.5, 18.0)","(19.0, 32.0, 28.823529411764707)","(31.0, 100.0, 81.42857142857143)","(26.0, 40.0, 34.666666666666664)","(13.0, 18.0, 17.4375)","(15.0, 21.0, 18.857142857142858)","(31.0, 46.0, 44.4)","(101.0, 180.0, 155.0)"
07-01-2023 14:09:39.761933,"(4.6, 5.3, 4.957142857142857)","(2.9, 3.05, 3.004368932038835)","(8.5, 12.5, 11.277777777777779)","(5.5, 7.8, 8.32)","(13.0, 18.5, 18.0)","(19.0, 32.0, 29.272727272727273)","(31.0, 100.0, 90.54545454545455)","(26.0, 40.0, 37.86666666666667)","(13.0, 18.0, 17.571428571428573)","(15.0, 21.0, 20.57142857142857)","(31.0, 46.0, 45.0)","(101.0, 180.0, 155.0)"
07-01-2023 14:09:41.465428,"(4.6, 5.3, 5.128571428571429)","(2.9, 3.1, 3.1923076923076925)","(8.5, 12.5, 11.435483870967742)","(5.5, 8.6, 8.066666666666666)","(13.0, 18.5, 17.333333333333332)","(19.0, 32.0, 28.896551724137932)","(31.0, 100.0, 92.85714285714286)","(26.0, 40.0, 36.44444444444444)","(13.0, 18.0, 17.666666666666668)","(15.0, 21.0, 20.57142857142857)","(31.0, 46.0, 45.0)","(101.0, 180.0, 161.8181818181818)"
07-01-2023 14:09:43.195601,"(4.6, 5.3, 5.128571428571429)","(2.9, 3.2, 3.1865671641791047)","(8.5, 12.5, 11.362068965517242)","(5.5, 8.4, 7.8)","(13.0, 18.5, 16.928571428571427)","(19.0, 32.0, 29.53846153846154)","(31.0, 100.0, 82.0)","(26.0, 40.0, 36.44444444444444)","(13.0, 18.0, 17.5)","(15.0, 21.0, 20.7)","(31.0, 46.0, 43.333333333333336)","(101.0, 180.0, 161.8181818181818)"
07-01-2023 14:09:44.816614,"(4.6, 5.3, 5.033333333333333)","(2.9, 3.2, 3.1865671641791047)","(8.5, 12.5, 11.328125)","(5.5, 8.6, 7.8)","(13.0, 18.0, 16.8)","(19.0, 30.0, 29.53846153846154)","(31.0, 100.0, 76.81818181818181)","(26.0, 40.0, 36.8)","(13.0, 18.0, 17.5)","(15.0, 21.0, 20.7)","(31.0, 46.0, 44.857142857142854)","(101.0, 180.0, 161.8181818181818)"
07-01-2023 14:09:46.451984,"(4.6, 5.3, 5.128571428571429)","(2.9, 3.2, 3.093984962406015)","(8.5, 12.5, 11.362068965517242)","(5.5, 8.6, 7.666666666666667)","(13.0, 18.0, 16.8)","(19.0, 30.0, 29.53846153846154)","(31.0, 95.0, 88.75)","(26.0, 40.0, 34.666666666666664)","(13.0, 18.0, 17.666666666666668)","(15.0, 21.0, 20.25)","(31.0, 46.0, 44.857142857142854)","(101.0, 180.0, 161.8181818181818)"
