,Sonnys Amazing,Triplets,Rainbow Rain,Colerne,Micton Mouse,Beartastic Writer,Roberts Delight,My Ultimate Billy Nz,Our Amazing Grace,No Win No Worries
10,"[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 674677), 3.6, 5.2]"
11,"[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 923562), 3.6, 5.2]"
12,"[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 161241), 3.6, 5.2]"
13,"[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 14, 411636), 3.6, 5.2]"
14,"[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 684111), 3.6, 5.2]"
15,"[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 945656), 3.6, 5.2]"
16,"[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 199429), 3.6, 5.2]"
17,"[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 438522), 3.6, 5.2]"
18,"[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 681568), 3.6, 5.2]"
19,"[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 929583), 3.6, 5.2]"
20,"[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 23, 217096), 3.6, 5.2]"
21,"[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 24, 506826), 3.6, 5.2]"
22,"[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 15.0, 26.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 61.0, 220.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 4.8, 7.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 8.5, 99999]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 19.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 18, 25, 766018), 3.6, 5.2]"
