,Lizzie Lass,Hes A Gift,My Shout Zoe,Supasonic Romeo,Gotham Baron,Fat Santa,Harros Girl
07-12-2022 20:23:17.332931,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:18.592925,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:19.739450,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:20.864507,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:22.102598,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:23.293393,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:24.640864,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.861904761904762)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:26.044786,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:27.420933,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
07-12-2022 20:23:28.905687,"(10.0, 24.0, 22.142857142857142)","(31.0, 130.0, 57.14285714285714)","(2.8, 4.2, 3.307777777777778)","(6.5, 14.5, 10.85)","(1.75, 2.26, 1.926530612244898)","(21.0, 95.0, 68.21428571428571)","(16.0, 55.0, 42.5)"
