,Elliott Ness,Mercury Icon,Aston Rosa,Starfleet,Van Diemen,Funky Felix,Im A Lawyer,Bingo Ringo
12-01-2023 09:32:16.363359,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:17.465375,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:18.562242,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:19.669000,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:20.877402,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:21.989974,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:23.103363,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:24.095694,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:25.118930,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:26.171252,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
12-01-2023 09:32:27.272554,"(5.0, 8.6, 5.469230769230769)","(10.0, 24.0, 19.764705882352942)","(6.5, 13.5, 7.82)","(11.0, 27.0, 16.6875)","(4.6, 9.4, 8.733333333333334)","(10.0, 23.0, 18.142857142857142)","(3.9, 6.0, 4.03695652173913)","(4.6, 7.4, 4.6875)"
