,Unleashed Buffy,Moment To Polka,Tears And Tanty,What A Phoenix,Big Kahuna,Hello Harley,Kid Kimetto,Bazinga Girl
11-01-2023 20:29:45.788536,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.9, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.2, 2.5045454545454544)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:47.071094,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.15, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:48.313820,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:49.495914,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:50.675047,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:51.871386,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:53.012480,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:54.200773,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:55.398608,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.4908333333333332)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:56.618197,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.05, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:57.771571,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:29:58.977259,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:00.038806,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:01.320578,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:02.595576,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:03.862907,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:05.140431,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:06.408481,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
11-01-2023 20:30:07.653139,"(4.2, 6.8, 4.828571428571428)","(3.1, 4.8, 3.7545454545454544)","(16.0, 42.0, 24.333333333333336)","(51.0, 550.0, 300.0)","(2.4, 3.0, 2.486666666666667)","(13.0, 32.0, 26.0)","(9.0, 17.5, 13.708333333333334)","(15.0, 46.0, 29.055555555555557)"
