,Resolve Now,Poker Play,God Help Us,Aquimine,Rare Stripe,Cuatro Madres
15-12-2022 10:48:52.184242,"(19.0, 48.0, 37.66666666666667)","(8.5, 12.5, 12.307692307692308)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 6.0, 5.6230769230769235)","(3.8, 5.2, 4.783333333333333)"
15-12-2022 10:48:53.050251,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.783333333333333)"
15-12-2022 10:48:54.156662,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.783333333333333)"
15-12-2022 10:48:55.045239,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 5.1000000000000005)"
15-12-2022 10:48:55.996685,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 5.1000000000000005)"
15-12-2022 10:48:56.995297,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.825)"
15-12-2022 10:48:57.960073,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.65)"
15-12-2022 10:48:58.829157,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.65)"
15-12-2022 10:48:59.728418,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.6230769230769235)","(3.8, 5.2, 4.65)"
15-12-2022 10:49:00.761456,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.407407407407408)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.1, 5.0738095238095235)"
15-12-2022 10:49:01.985094,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.333333333333332)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.1, 4.85)"
15-12-2022 10:49:02.965134,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.333333333333332)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.1, 4.906666666666666)"
15-12-2022 10:49:03.915086,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.333333333333332)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.2, 4.933333333333334)"
15-12-2022 10:49:04.858393,"(19.0, 48.0, 32.75)","(8.5, 12.5, 12.333333333333332)","(11.0, 29.0, 26.625)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.2, 5.208333333333333)"
15-12-2022 10:49:05.907139,"(19.0, 48.0, 32.75)","(8.5, 12.5, 11.56)","(11.0, 25.0, 23.166666666666668)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:06.862480,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.56)","(11.0, 25.0, 22.5)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:07.790029,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.375)","(11.0, 25.0, 22.5)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:08.686990,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 22.5)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:09.629143,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 22.5)","(2.35, 2.4, 2.3035714285714284)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
15-12-2022 10:49:10.532696,"(19.0, 46.0, 27.0)","(8.5, 12.5, 11.885714285714286)","(11.0, 25.0, 22.5)","(2.35, 2.38, 2.3266666666666667)","(4.2, 5.9, 5.5)","(3.8, 5.3, 5.208333333333333)"
