,Moraine Marco,Crackerjack Bull,Menari Tom,Winston Town,Your Colour Room,Aston Wyatt,Moraine Baloo
10-01-2023 15:01:29.743897,"(14.0, 42.0, 35.5)","(2.6, 4.3, 2.7735135135135134)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 533.5714285714287)"
10-01-2023 15:01:31.039962,"(14.0, 42.0, 35.5)","(2.6, 4.7, 2.7735135135135134)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 533.5714285714287)"
10-01-2023 15:01:32.312550,"(14.0, 42.0, 35.5)","(2.6, 4.7, 2.7735135135135134)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:33.683278,"(14.0, 42.0, 35.5)","(2.6, 4.7, 2.7735135135135134)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:34.846570,"(14.0, 42.0, 35.5)","(2.6, 4.7, 2.7735135135135134)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:36.066235,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:37.331218,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:38.589400,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:39.899468,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 36.45454545454545)","(81.0, 570.0, 513.3333333333333)"
10-01-2023 15:01:41.180133,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:42.321312,"(14.0, 42.0, 35.5)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:43.284738,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
10-01-2023 15:01:44.464779,"(14.0, 42.0, 24.666666666666664)","(2.6, 4.6, 3.289090909090909)","(41.0, 350.0, 195.0)","(4.2, 6.8, 4.7)","(1.9, 2.7, 2.018181818181818)","(21.0, 75.0, 44.16666666666667)","(81.0, 570.0, 485.0)"
