,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:35:17.457737,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 13.24)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:18.919517,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 13.24)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:20.330363,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 13.24)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:21.714479,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 13.075)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:23.024938,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:24.236497,"(4.8, 8.6, 6.0285714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.47)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:25.456234,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:26.739080,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:28.062907,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:29.394236,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:30.735333,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:35:32.073775,"(4.8, 8.6, 5.885714285714285)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 14.6)","(1.7, 2.72, 2.4625000000000004)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
