,Veilazig,Strong Woman,Musical Millie,Frosty Flirt,Senorita Cometa,Staythirstymyamigo,Kimbells Strategy
08-12-2022 13:35:36.339105,"(14.0, 28.0, 21.6)","(5.5, 8.0, 7.057142857142857)","(5.5, 8.6, 7.199999999999999)","(3.3, 4.5, 3.75)","(15.0, 19.0, 15.8)","(21.0, 210.0, 196.54666666666668)","(2.7, 4.6, 3.2933333333333334)"
08-12-2022 13:35:37.483386,"(14.0, 28.0, 21.6)","(5.5, 8.0, 7.057142857142857)","(5.5, 8.6, 7.199999999999999)","(3.3, 4.5, 3.4764705882352938)","(15.0, 19.0, 15.8)","(21.0, 210.0, 17.46666666666667)","(2.7, 4.6, 4.302)"
08-12-2022 13:35:38.684601,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.2, 7.781818181818181)","(3.3, 3.8, 3.4764705882352938)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:39.788601,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.5375)","(3.3, 3.8, 3.4764705882352938)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:40.831392,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.5375)","(3.3, 3.8, 3.4764705882352938)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:41.843136,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.5375)","(3.3, 3.8, 3.5555555555555554)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:42.864450,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.5375)","(3.3, 4.6, 4.444444444444445)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:44.011044,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.9714285714285715)","(3.3, 4.6, 4.444444444444445)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:45.118990,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.6)","(3.3, 4.6, 3.79)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.46666666666667)","(2.7, 4.5, 3.2733333333333334)"
08-12-2022 13:35:46.277483,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.6)","(3.3, 4.5, 3.764705882352941)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.927272727272728)","(2.7, 4.5, 3.59)"
08-12-2022 13:35:47.441225,"(14.0, 36.0, 26.4)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.430769230769231)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.927272727272728)","(2.7, 4.5, 3.3000000000000003)"
08-12-2022 13:35:48.422571,"(14.0, 36.0, 22.285714285714285)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.5600000000000005)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.927272727272728)","(2.7, 4.5, 3.3000000000000003)"
08-12-2022 13:35:49.375473,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.0)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.927272727272728)","(2.7, 4.5, 3.3000000000000003)"
08-12-2022 13:35:50.428710,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.64)","(3.3, 4.5, 3.5384615384615383)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.345454545454544)","(2.7, 4.5, 3.3000000000000003)"
08-12-2022 13:35:51.458633,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.64)","(3.3, 4.5, 3.5384615384615383)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.345454545454544)","(2.7, 4.5, 3.3133333333333335)"
08-12-2022 13:35:52.677102,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.5600000000000005)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.636363636363637)","(2.7, 4.5, 3.3133333333333335)"
08-12-2022 13:35:53.877421,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.5600000000000005)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.636363636363637)","(2.7, 4.5, 3.62)"
08-12-2022 13:35:54.972007,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 8.057142857142857)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 23.957894736842107)","(2.7, 4.5, 3.34)"
08-12-2022 13:35:56.194720,"(14.0, 34.0, 28.5)","(5.5, 8.0, 5.73125)","(5.5, 9.0, 7.72)","(3.3, 4.5, 3.5384615384615383)","(15.0, 19.0, 15.8)","(21.0, 36.0, 19.771428571428572)","(2.7, 4.5, 3.34)"
08-12-2022 13:35:57.315668,"(14.0, 34.0, 28.5)","(5.5, 8.0, 6.089473684210526)","(5.5, 9.0, 7.5600000000000005)","(3.3, 4.5, 3.75)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.2)","(2.7, 4.5, 3.34)"
08-12-2022 13:35:58.487214,"(14.0, 34.0, 28.5)","(5.5, 8.0, 6.3882352941176475)","(5.5, 9.0, 7.5600000000000005)","(3.3, 4.5, 3.6153846153846154)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.636363636363637)","(2.7, 4.5, 3.326666666666667)"
08-12-2022 13:35:59.578674,"(14.0, 34.0, 28.5)","(5.5, 7.8, 6.6)","(5.5, 9.0, 8.0)","(3.3, 4.5, 4.0181818181818185)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.636363636363637)","(2.7, 4.5, 3.63)"
08-12-2022 13:36:00.793593,"(14.0, 34.0, 28.5)","(5.5, 7.6, 5.98)","(5.5, 9.0, 7.64)","(3.3, 4.4, 3.5444444444444443)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.49090909090909)","(2.7, 4.5, 3.353333333333333)"
08-12-2022 13:36:01.927461,"(14.0, 34.0, 28.5)","(5.5, 7.6, 5.98)","(5.5, 9.0, 7.64)","(3.3, 3.85, 3.3785714285714286)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.49090909090909)","(2.7, 4.5, 3.353333333333333)"
08-12-2022 13:36:03.021464,"(14.0, 34.0, 28.5)","(5.5, 7.6, 5.98)","(5.5, 9.0, 7.64)","(3.3, 3.85, 3.4964285714285714)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.333333333333336)","(2.7, 4.5, 3.353333333333333)"
08-12-2022 13:36:04.007065,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.6)","(5.5, 9.0, 7.5600000000000005)","(3.3, 3.85, 3.4964285714285714)","(15.0, 19.0, 15.8)","(21.0, 36.0, 17.333333333333336)","(2.7, 4.5, 3.326666666666667)"
08-12-2022 13:36:05.017519,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.6)","(5.5, 8.8, 6.675000000000001)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.781818181818181)","(2.7, 4.5, 3.62)"
08-12-2022 13:36:06.078020,"(14.0, 34.0, 28.5)","(5.5, 7.6, 6.6)","(5.5, 8.6, 7.7142857142857135)","(3.3, 3.85, 3.535714285714286)","(15.0, 19.0, 15.8)","(21.0, 36.0, 15.781818181818181)","(2.7, 4.5, 3.65)"
