,Alpha Raphel,Pimmy,Myka,Cracking Miss,Curious Caza,Once You Go
04-01-2023 13:17:42.257786,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.914285714285715)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:43.221884,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.914285714285715)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:44.244812,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.914285714285715)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:45.202243,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.914285714285715)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:46.048330,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 6.914285714285715)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:47.151113,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:48.053716,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:48.998805,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:49.977944,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:50.868063,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:51.756917,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:52.641949,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:53.584922,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:54.466371,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:55.475659,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
04-01-2023 13:17:56.414948,"(5.5, 9.4, 6.8375)","(9.0, 19.0, 18.306666666666665)","(4.8, 8.8, 6.365217391304348)","(4.6, 7.6, 5.6)","(1.95, 2.68, 2.38)","(11.0, 23.0, 14.875)"
