,Sugar Shane,Aston Pride,Adelmo Bale,Clips,Winnington Bale,Poppys Pride,Limiting
10-01-2023 16:13:02.545500,"(26.0, 290.0, 75.0)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 26.0)"
10-01-2023 16:13:03.759224,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 26.0)"
10-01-2023 16:13:05.004129,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 28.5)"
10-01-2023 16:13:06.375863,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 28.5)"
10-01-2023 16:13:07.638779,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 28.5)"
10-01-2023 16:13:08.932918,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 28.5)"
10-01-2023 16:13:10.202212,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 29.0)"
10-01-2023 16:13:11.455748,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:12.625197,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
10-01-2023 16:13:13.868028,"(26.0, 290.0, 72.5)","(5.5, 22.0, 18.514285714285712)","(1.45, 1.71, 1.6088888888888888)","(21.0, 60.0, 36.94444444444444)","(6.5, 11.0, 8.038235294117648)","(6.0, 12.0, 8.514285714285714)","(12.0, 46.0, 25.0625)"
