,Burns Bay,Luxury Lad,Be My Rock,Stompem Nz,Animado,Yep Got Chooks,Speak With Sam,Bangkok Deejay,Much Bettor Nz,Karloo Bradley Nz
16-12-2022 15:00:54.635383,"(1.65, 2.1, 2.0815)","(14.0, 16.5, 15.916666666666666)","(14.0, 16.0, 15.666666666666666)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 110.0, 88.75)","(4.2, 5.2, 5.176923076923077)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:00:56.006501,"(1.65, 2.1, 2.0848275862068966)","(14.0, 16.5, 15.916666666666666)","(14.0, 16.0, 15.441176470588236)","(91.0, 99999, 99990)","(10.0, 14.5, 14.333333333333334)","(71.0, 160.0, 141.42857142857144)","(61.0, 100.0, 88.0)","(4.2, 5.2, 5.2214285714285715)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:00:57.160757,"(1.65, 2.1, 2.0848275862068966)","(14.0, 16.5, 15.916666666666666)","(14.0, 15.5, 15.441176470588236)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 100.0, 88.0)","(4.2, 5.3, 5.241666666666666)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:00:58.302939,"(1.65, 2.1, 2.0883760683760686)","(14.0, 16.5, 15.916666666666666)","(14.0, 15.5, 15.441176470588236)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 100.0, 88.0)","(4.2, 5.3, 5.241666666666666)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:00:59.715798,"(1.65, 2.1, 2.085979381443299)","(14.0, 16.5, 15.916666666666666)","(14.0, 15.5, 15.441176470588236)","(91.0, 99999, 99990)","(10.0, 14.5, 14.333333333333334)","(71.0, 160.0, 141.42857142857144)","(61.0, 100.0, 87.0)","(4.2, 5.3, 5.341791044776119)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:01.110939,"(1.65, 2.1, 2.0797014925373136)","(14.0, 16.5, 15.068181818181818)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.5, 14.166666666666666)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.352380952380953)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:02.751651,"(1.65, 2.1, 2.0797014925373136)","(14.0, 16.5, 15.24)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:04.080233,"(1.65, 2.1, 2.0678260869565217)","(14.0, 16.5, 15.24)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:05.362511,"(1.65, 2.1, 2.068780487804878)","(14.0, 16.0, 14.615384615384615)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:06.623656,"(1.65, 2.1, 2.068780487804878)","(14.0, 16.0, 14.615384615384615)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.5, 13.98)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:07.837012,"(1.65, 2.1, 2.069)","(14.0, 16.0, 14.615384615384615)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.0, 13.98)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.2, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:09.301814,"(1.65, 2.1, 2.069)","(14.0, 16.0, 14.615384615384615)","(14.0, 15.5, 15.2)","(91.0, 99999, 99990)","(10.0, 14.0, 13.98)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.4, 5.4, 5.355555555555556)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:10.645999,"(1.65, 2.06, 2.0576377952755904)","(14.0, 16.0, 14.65)","(14.0, 15.5, 15.25)","(81.0, 99999, 99990)","(10.0, 14.0, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.4, 5.4, 5.362068965517241)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:11.958440,"(1.65, 2.1, 2.0870833333333336)","(14.0, 15.5, 14.964285714285714)","(14.0, 15.5, 14.428571428571429)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.4, 5.5, 5.362068965517241)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:13.248163,"(1.65, 2.08, 2.0756521739130434)","(14.0, 16.0, 15.368421052631579)","(14.0, 15.5, 14.333333333333334)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 87.0)","(4.4, 5.5, 5.4125)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:14.496623,"(1.65, 2.08, 2.06375)","(14.0, 15.0, 14.590909090909092)","(14.0, 15.5, 14.333333333333334)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 120.0)","(61.0, 95.0, 87.0)","(4.4, 5.5, 5.430000000000001)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:15.877401,"(1.65, 2.04, 2.036164383561644)","(14.0, 15.0, 14.55)","(14.0, 15.5, 15.045454545454545)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 90.0)","(4.4, 5.5, 5.480952380952381)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:17.077982,"(1.65, 2.1, 2.0796825396825396)","(14.0, 15.0, 14.590909090909092)","(14.0, 15.5, 14.818181818181818)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 95.0, 91.25)","(4.4, 5.5, 5.48)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:18.502402,"(1.65, 2.08, 2.0751219512195123)","(14.0, 15.0, 14.590909090909092)","(14.0, 15.5, 14.847826086956522)","(81.0, 99999, 99990)","(10.0, 14.5, 14.362068965517242)","(71.0, 160.0, 141.42857142857144)","(61.0, 110.0, 91.25)","(4.4, 5.5, 5.487878787878788)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:19.873020,"(1.65, 2.04, 2.0336690647482016)","(14.0, 15.0, 14.608695652173914)","(14.0, 15.5, 14.847826086956522)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 110.0, 91.25)","(4.4, 5.5, 5.418867924528302)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
16-12-2022 15:01:21.198520,"(1.65, 2.08, 2.0711764705882354)","(14.0, 15.0, 14.590909090909092)","(14.0, 15.5, 14.818181818181818)","(81.0, 99999, 99990)","(10.0, 14.5, 14.357142857142858)","(71.0, 160.0, 141.42857142857144)","(61.0, 110.0, 91.25)","(4.4, 5.6, 5.418867924528302)","(19.0, 99999, 99990)","(11.0, 99999, 99990)"
