,Goldstar Larson,Shane Baxter,Opawa Barns,Its Better,Alternate Shot,Barber Cubed,Smash Ready
15-12-2022 13:21:48.769882,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 32.0, 29.4375)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:49.835209,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:50.893941,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:51.958528,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:53.164891,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:54.364987,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:55.470206,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:56.600325,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:57.917213,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:21:59.197528,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:00.344680,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
15-12-2022 13:22:01.572178,"(8.0, 17.5, 15.946153846153846)","(15.0, 170.0, 69.07142857142857)","(2.6, 7.2, 4.6472727272727266)","(13.0, 34.0, 31.1875)","(1.9, 3.65, 2.928125)","(16.0, 80.0, 69.08333333333333)","(12.0, 55.0, 49.4375)"
