,Nakula Nz,Rock Supreme,Fortes In Fide,Major Mischief,Rosarito,Chal Be Nz,Devouged,Magicol Ideal Nz,Jingles Bromac Nz,Motu Cullen Nz
10-01-2023 15:40:04.363550,"(2.8, 99999, 99990)","(7.5, 8.8, 8.728)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.7, 5.594736842105263)","(41.0, 55.0, 49.75)","(9.0, 99999, 99990)","(31.0, 75.0, 62.5)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.1, 99999, 99990)"
10-01-2023 15:40:05.826871,"(2.8, 99999, 99990)","(7.5, 8.8, 8.68888888888889)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.8, 5.633333333333333)","(41.0, 55.0, 50.833333333333336)","(9.0, 99999, 99990)","(31.0, 70.0, 59.5)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.1, 99999, 99990)"
10-01-2023 15:40:07.279795,"(2.8, 99999, 99990)","(7.5, 8.8, 8.68888888888889)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.8, 5.639285714285714)","(41.0, 55.0, 50.833333333333336)","(9.0, 99999, 99990)","(31.0, 70.0, 59.5)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.1, 99999, 99990)"
10-01-2023 15:40:09.036349,"(2.8, 99999, 99990)","(7.5, 8.8, 8.68888888888889)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.8, 5.74)","(41.0, 55.0, 50.5)","(9.0, 99999, 99990)","(31.0, 70.0, 58.0)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.1, 99999, 99990)"
10-01-2023 15:40:10.603141,"(2.8, 99999, 99990)","(7.5, 9.0, 8.85)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.8, 5.705263157894737)","(41.0, 55.0, 52.1875)","(9.0, 99999, 99990)","(31.0, 70.0, 58.75)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.1, 99999, 99990)"
10-01-2023 15:40:12.031232,"(2.8, 99999, 99990)","(7.5, 9.0, 8.85)","(26.0, 44.0, 42.61538461538461)","(4.8, 5.8, 5.710344827586207)","(41.0, 55.0, 49.4)","(9.0, 99999, 99990)","(31.0, 70.0, 63.07692307692308)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.0, 99999, 99990)"
10-01-2023 15:40:13.546870,"(2.8, 99999, 99990)","(7.5, 9.2, 9.071428571428571)","(26.0, 44.0, 41.333333333333336)","(4.8, 6.0, 5.710344827586207)","(41.0, 55.0, 49.4)","(9.0, 99999, 99990)","(31.0, 70.0, 64.375)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.0, 99999, 99990)"
10-01-2023 15:40:15.133747,"(2.8, 99999, 99990)","(7.5, 9.2, 9.183333333333334)","(26.0, 44.0, 41.333333333333336)","(4.8, 6.0, 5.76338028169014)","(41.0, 55.0, 49.4)","(9.0, 99999, 99990)","(31.0, 70.0, 50.76086956521739)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.0, 99999, 99990)"
10-01-2023 15:40:16.704072,"(2.8, 99999, 99990)","(7.5, 9.4, 9.288888888888888)","(26.0, 44.0, 44.0)","(4.8, 6.0, 5.734090909090909)","(41.0, 55.0, 61.5)","(9.0, 99999, 99990)","(31.0, 55.0, 50.357142857142854)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.0, 99999, 99990)"
10-01-2023 15:40:18.656275,"(2.9, 99999, 99990)","(7.5, 9.4, 9.309090909090909)","(26.0, 48.0, 45.14285714285714)","(4.8, 6.0, 5.827586206896552)","(41.0, 75.0, 52.0)","(9.0, 99999, 99990)","(31.0, 55.0, 50.24390243902439)","(31.0, 99999, 99990)","(81.0, 99999, 99990)","(3.0, 99999, 99990)"
10-01-2023 15:40:20.327101,"(2.9, 99999, 99990)","(7.5, 9.4, 9.309090909090909)","(26.0, 48.0, 45.14285714285714)","(4.6, 5.9, 5.7823529411764705)","(31.0, 80.0, 65.0)","(9.0, 99999, 99990)","(31.0, 55.0, 50.24390243902439)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:21.751565,"(2.9, 99999, 99990)","(7.5, 9.4, 9.344444444444445)","(26.0, 48.0, 43.714285714285715)","(4.6, 5.9, 5.80625)","(31.0, 75.0, 63.888888888888886)","(9.0, 99999, 99990)","(31.0, 55.0, 50.24390243902439)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:23.201269,"(2.9, 99999, 99990)","(7.5, 9.4, 9.392)","(26.0, 48.0, 44.285714285714285)","(4.6, 5.9, 5.7437499999999995)","(31.0, 75.0, 66.11111111111111)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:24.595720,"(2.9, 99999, 99990)","(7.5, 9.8, 9.377777777777778)","(26.0, 50.0, 45.04761904761905)","(4.6, 5.8, 5.718518518518518)","(31.0, 75.0, 66.11111111111111)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:26.011371,"(2.9, 99999, 99990)","(7.5, 9.8, 9.215384615384615)","(26.0, 50.0, 45.04761904761905)","(4.6, 5.8, 5.684210526315789)","(31.0, 75.0, 66.11111111111111)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:27.382100,"(2.9, 99999, 99990)","(7.5, 9.8, 9.41025641025641)","(26.0, 50.0, 44.285714285714285)","(4.6, 5.8, 5.6454545454545455)","(31.0, 75.0, 68.33333333333333)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:28.816837,"(2.9, 99999, 99990)","(7.5, 9.8, 9.281818181818181)","(26.0, 50.0, 44.54545454545455)","(4.6, 5.8, 5.633333333333333)","(31.0, 75.0, 68.33333333333333)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:30.465083,"(2.9, 99999, 99990)","(7.5, 9.8, 9.226666666666667)","(26.0, 50.0, 45.666666666666664)","(4.6, 5.8, 5.633333333333333)","(31.0, 75.0, 67.0)","(9.0, 99999, 99990)","(31.0, 55.0, 51.12244897959184)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:32.029926,"(2.9, 99999, 99990)","(7.5, 9.6, 9.224242424242423)","(26.0, 50.0, 45.666666666666664)","(4.6, 5.8, 5.63448275862069)","(31.0, 75.0, 69.54545454545455)","(9.0, 99999, 99990)","(31.0, 55.0, 48.18181818181818)","(41.0, 99999, 99990)","(81.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:33.423633,"(3.0, 99999, 99990)","(7.5, 9.6, 9.3)","(31.0, 50.0, 44.42857142857143)","(4.8, 5.7, 5.594444444444444)","(31.0, 75.0, 70.0)","(9.0, 99999, 99990)","(31.0, 50.0, 48.18181818181818)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:35.066081,"(3.0, 99999, 99990)","(7.5, 9.4, 9.182608695652174)","(31.0, 50.0, 46.5)","(4.8, 5.7, 5.577419354838709)","(31.0, 75.0, 68.33333333333333)","(9.0, 99999, 99990)","(31.0, 50.0, 47.333333333333336)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:36.586439,"(3.0, 99999, 99990)","(7.5, 9.6, 8.1)","(31.0, 50.0, 47.375)","(4.8, 5.7, 5.646153846153846)","(31.0, 75.0, 68.33333333333333)","(9.0, 99999, 99990)","(31.0, 50.0, 47.333333333333336)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:37.957260,"(3.0, 99999, 99990)","(7.5, 8.2, 8.418181818181818)","(31.0, 50.0, 55.5)","(4.8, 5.8, 5.733333333333333)","(31.0, 75.0, 67.5)","(9.0, 99999, 99990)","(31.0, 50.0, 48.4)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:39.194098,"(3.0, 99999, 99990)","(7.5, 9.4, 8.418181818181818)","(31.0, 65.0, 59.81818181818182)","(4.8, 5.8, 5.716129032258064)","(31.0, 85.0, 80.0)","(9.0, 99999, 99990)","(31.0, 50.0, 47.333333333333336)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:40.436789,"(3.0, 99999, 99990)","(7.5, 9.2, 9.04313725490196)","(31.0, 65.0, 52.25)","(4.8, 5.8, 5.420114942528736)","(31.0, 85.0, 80.0)","(9.0, 99999, 99990)","(31.0, 50.0, 47.6)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:41.720152,"(3.0, 99999, 99990)","(7.5, 9.2, 8.981052631578947)","(31.0, 65.0, 54.8)","(4.8, 5.5, 5.488524590163935)","(31.0, 85.0, 80.0)","(9.0, 99999, 99990)","(31.0, 50.0, 48.285714285714285)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:43.094301,"(3.0, 99999, 99990)","(7.5, 9.2, 8.835)","(31.0, 65.0, 54.8)","(4.8, 5.6, 5.496428571428572)","(31.0, 85.0, 76.25)","(9.0, 99999, 99990)","(31.0, 50.0, 48.285714285714285)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:44.522149,"(3.0, 99999, 99990)","(7.5, 9.0, 8.619047619047619)","(31.0, 65.0, 59.333333333333336)","(4.8, 5.5, 5.667741935483871)","(31.0, 85.0, 82.27272727272727)","(9.0, 99999, 99990)","(31.0, 50.0, 47.38461538461539)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:45.901463,"(3.0, 99999, 99990)","(7.5, 9.0, 8.619047619047619)","(31.0, 65.0, 63.9375)","(4.8, 5.7, 5.670588235294118)","(31.0, 85.0, 82.5)","(9.0, 99999, 99990)","(31.0, 55.0, 47.38461538461539)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:47.365522,"(3.0, 99999, 99990)","(7.5, 9.0, 8.614814814814814)","(31.0, 65.0, 63.9375)","(4.8, 5.7, 5.615151515151515)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 55.0, 46.75)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:49.042203,"(3.0, 99999, 99990)","(7.5, 9.0, 8.644444444444444)","(31.0, 65.0, 63.9375)","(4.8, 5.7, 5.5728813559322035)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 55.0, 48.0)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:50.459761,"(3.0, 99999, 99990)","(7.5, 9.0, 8.644444444444444)","(31.0, 65.0, 62.0)","(4.8, 5.6, 5.52)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 50.0, 48.0)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:51.947451,"(3.0, 99999, 99990)","(7.5, 9.0, 8.725714285714286)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.464285714285714)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 50.0, 48.0)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:53.366751,"(3.0, 99999, 99990)","(7.5, 9.0, 8.725714285714286)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.5, 5.5675675675675675)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 50.0, 48.0)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:54.781387,"(3.0, 99999, 99990)","(7.5, 8.8, 8.71304347826087)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.445283018867925)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 50.0, 47.26)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:56.155071,"(3.0, 99999, 99990)","(7.5, 8.8, 8.67878787878788)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.430769230769231)","(31.0, 85.0, 83.0)","(9.0, 99999, 99990)","(31.0, 55.0, 47.26)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:57.543655,"(3.0, 99999, 99990)","(7.5, 8.8, 8.64)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.521739130434782)","(31.0, 85.0, 90.3125)","(9.0, 99999, 99990)","(31.0, 55.0, 47.411764705882355)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:40:58.919452,"(3.0, 99999, 99990)","(7.5, 8.8, 8.558333333333334)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.5285714285714285)","(31.0, 95.0, 87.5)","(10.0, 99999, 99990)","(31.0, 55.0, 47.5)","(41.0, 99999, 99990)","(91.0, 99999, 99990)","(2.9, 99999, 99990)"
10-01-2023 15:41:00.277726,"(3.0, 99999, 99990)","(7.5, 8.6, 8.558333333333334)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.5285714285714285)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 55.0, 48.666666666666664)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
10-01-2023 15:41:01.623211,"(3.2, 99999, 99990)","(7.0, 8.6, 8.547368421052632)","(31.0, 65.0, 63.333333333333336)","(4.4, 5.6, 5.473684210526316)","(41.0, 95.0, 87.5)","(11.0, 99999, 99990)","(31.0, 50.0, 46.666666666666664)","(51.0, 99999, 99990)","(101.0, 99999, 99990)","(2.7, 99999, 99990)"
