,Jigamaroo,Rocknroll Da Gama,Chump Chop,Lanoch Boy,Young Conqueror Nz,Betterthan Popsy,Tungsten Terror,Allmighty Max,Rock Nien
07-01-2023 18:56:25.560179,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 5.550000000000001)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:26.917122,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:28.310129,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:29.594104,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:30.868158,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:32.188943,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 9.75)"
07-01-2023 18:56:33.509408,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:34.881915,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:36.152604,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:37.405457,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:38.726076,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:40.073115,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:41.393256,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:42.686683,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:44.002835,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:45.228417,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:46.365459,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:47.611819,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.1000000000000005)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:48.851384,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:50.160763,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
07-01-2023 18:56:51.478332,"(2.4, 2.64, 2.54)","(16.0, 28.0, 19.0)","(14.0, 19.0, 17.8)","(5.0, 6.2, 6.042857142857143)","(21.0, 99999, 99990)","(6.5, 12.0, 9.96)","(18.0, 30.0, 26.0)","(8.0, 10.5, 8.82)","(7.0, 12.5, 10.024999999999999)"
