,Bring Your Best,Hacienda Heights,Tommys Luck,Nuclear Bling,Logan Reason,Speedy Sport,Fire Up Lexy,Logan Dream,Meraki,Dawson Shard Nz
07-12-2022 19:36:50.992161,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:36:52.701295,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:36:54.292598,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:36:55.888442,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:36:57.604486,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:36:59.198190,"(5.5, 8.2, 7.847058823529411)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:00.983350,"(5.5, 8.2, 8.08235294117647)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 454.54545454545456)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:02.881195,"(5.5, 8.2, 7.866666666666666)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 540.0, 365.71428571428567)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:04.777631,"(5.5, 8.2, 7.866666666666666)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 530.0, 365.71428571428567)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
07-12-2022 19:37:06.504788,"(5.5, 8.4, 7.833333333333333)","(17.0, 38.0, 20.375)","(10.0, 18.5, 13.55)","(81.0, 530.0, 365.71428571428567)","(3.6, 6.0, 5.328571428571429)","(81.0, 420.0, 280.0)","(4.2, 7.4, 5.266666666666667)","(20.0, 48.0, 36.2)","(4.6, 6.6, 5.2)","(6.0, 99999, 99990)"
