,Marcher,Our Frankie,Lady Chartwell,Northern Impact,Cynic,Cristalino,Donnacan,Giddy Gans Joy
09-01-2023 13:58:00.093414,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9825925925925927)","(7.5, 9.6, 9.12)","(4.6, 11.0, 9.9)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.811764705882352)","(13.0, 17.5, 17.24390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:01.232205,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9825925925925927)","(7.5, 9.6, 9.12)","(4.6, 11.0, 9.9)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.811764705882352)","(13.0, 17.5, 17.24390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:02.475274,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.983939393939394)","(7.5, 9.6, 9.177777777777777)","(4.6, 11.0, 9.9)","(12.0, 17.0, 14.87037037037037)","(7.0, 9.2, 8.811764705882352)","(13.0, 17.5, 17.24390243902439)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:03.650259,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.983939393939394)","(7.5, 9.4, 9.177777777777777)","(4.6, 11.0, 9.9)","(12.0, 17.0, 15.23076923076923)","(7.0, 9.2, 8.857142857142856)","(13.0, 17.5, 16.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:04.756231,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9390116279069767)","(7.5, 9.2, 9.0)","(4.6, 11.0, 9.9)","(12.0, 17.0, 15.23076923076923)","(7.0, 9.2, 8.857142857142856)","(13.0, 17.5, 16.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:05.876415,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9385454545454546)","(7.5, 9.2, 9.0)","(4.6, 11.0, 10.3)","(12.0, 17.0, 15.272727272727273)","(7.0, 9.2, 8.857142857142856)","(13.0, 17.5, 16.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:06.987246,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9385454545454546)","(7.5, 9.2, 9.0)","(4.6, 11.0, 10.3)","(12.0, 17.0, 15.516129032258064)","(7.0, 9.2, 8.666666666666666)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:08.037239,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938841463414634)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.970588235294118)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:09.161656,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938392857142857)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.970588235294118)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:10.293587,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938392857142857)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:11.421893,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938392857142857)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:12.496191,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938392857142857)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:13.533006,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.938392857142857)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:14.638498,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9491509433962264)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.0)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:15.706306,"(20.0, 110.0, 73.0)","(1.8, 2.0, 1.9346666666666665)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.970588235294118)","(7.0, 9.2, 8.613333333333333)","(13.0, 17.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:16.762348,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9681818181818183)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.970588235294118)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:17.866815,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9681818181818183)","(7.5, 9.6, 9.0)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.774193548387096)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:18.958323,"(20.0, 110.0, 73.0)","(1.8, 1.99, 1.9681818181818183)","(7.5, 9.6, 9.257142857142858)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:19.998162,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 9.6, 9.342857142857143)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:21.022846,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.666666666666666)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:22.099399,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:23.150548,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:24.308737,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
09-01-2023 13:58:25.459214,"(20.0, 110.0, 73.0)","(1.8, 1.95, 1.9414583333333333)","(7.5, 10.0, 9.4)","(4.6, 11.0, 10.58)","(12.0, 17.0, 14.125)","(7.0, 9.2, 8.613333333333333)","(13.0, 18.5, 17.8)","(41.0, 170.0, 93.33333333333334)"
