,Mr Valentine,Lamancha,Dynamic,Kasatkina,Call Me Elf,Tiggerlong Al
10-01-2023 14:14:56.903993,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.2, 6.193333333333333)"
10-01-2023 14:14:57.964982,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.2, 6.193333333333333)"
10-01-2023 14:14:59.064068,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.2, 6.193333333333333)"
10-01-2023 14:15:00.178520,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.2, 6.193333333333333)"
10-01-2023 14:15:01.270483,"(3.6, 5.2, 4.233333333333333)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 23.0, 21.77777777777778)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.2, 6.3)"
10-01-2023 14:15:02.282327,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:03.337358,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:04.289877,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:05.226199,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
10-01-2023 14:15:06.309828,"(3.6, 5.4, 4.3)","(4.6, 7.8, 5.32)","(6.5, 17.5, 12.04)","(11.0, 25.0, 23.555555555555557)","(2.9, 4.0, 2.858064516129032)","(5.0, 9.6, 6.3)"
