,World Of Fools,Adios See Ya,Toller,Lion Of The Sea,Jaime Jamel,Dinner Bell,Scaredy Cat,Baytown Jakester,Forever The Boss,Urban Warrior
05-01-2023 12:22:41.916853,"(21.0, 200.0, 167.0)","(9.0, 30.0, 27.384615384615387)","(2.7, 2.94, 2.809230769230769)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 156.54545454545456)","(21.0, 190.0, 155.8)","(9.0, 29.0, 24.833333333333332)","(4.8, 8.2, 7.854545454545455)","(6.5, 10.0, 9.866666666666667)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:43.108697,"(21.0, 200.0, 109.5)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 153.55555555555554)","(21.0, 190.0, 155.8)","(9.0, 29.0, 25.875)","(4.8, 8.4, 7.8999999999999995)","(6.5, 10.0, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:44.299067,"(21.0, 200.0, 109.5)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 153.55555555555554)","(21.0, 190.0, 155.8)","(9.0, 29.0, 25.875)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:45.525526,"(21.0, 200.0, 109.5)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 153.55555555555554)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 25.875)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:46.793628,"(21.0, 200.0, 109.5)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 153.55555555555554)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 25.875)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:47.961347,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 25.875)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:49.083253,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 25.875)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:50.216297,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 10.5, 9.766666666666667)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 26.32142857142857)","(4.8, 8.2, 7.854545454545455)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:51.430056,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.809230769230769)","(8.0, 11.0, 9.933333333333334)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.16666666666669)","(9.0, 29.0, 26.32142857142857)","(4.8, 8.4, 8.066666666666666)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:52.858573,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 11.0, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 26.32142857142857)","(4.8, 8.2, 7.8999999999999995)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:54.052686,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 26.32142857142857)","(4.8, 8.2, 7.854545454545455)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:55.335646,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.4, 7.854545454545455)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
05-01-2023 12:22:56.540070,"(21.0, 200.0, 127.60000000000001)","(9.0, 30.0, 21.75)","(2.7, 2.94, 2.847272727272727)","(8.0, 10.5, 10.185714285714285)","(31.0, 170.0, 96.5)","(21.0, 190.0, 133.33333333333331)","(9.0, 29.0, 20.0)","(4.8, 8.4, 7.854545454545455)","(6.5, 10.5, 9.857142857142858)","(6.5, 9.8, 9.761904761904763)"
