,Winklee Ted,Your Law,Dont Tell Neo,Wilanns Way,Semi Precious,Saint Zac,Buckle Up Nick,Hawk Danger
10-01-2023 14:01:40.663856,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 38.611111111111114)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 16.214285714285715)","(10.0, 19.5, 15.892857142857142)","(26.0, 75.0, 42.5)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:41.970783,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 38.611111111111114)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:43.434147,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 38.611111111111114)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:44.785986,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 38.611111111111114)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:46.126300,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:47.486317,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:48.769690,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:50.025392,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:51.333552,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
10-01-2023 14:01:52.636820,"(3.7, 6.4, 4.342857142857143)","(19.0, 65.0, 33.333333333333336)","(2.6, 4.9, 2.7825)","(6.5, 12.5, 10.979310344827585)","(10.0, 20.0, 14.222222222222221)","(10.0, 19.5, 14.0)","(26.0, 75.0, 37.18181818181819)","(4.4, 7.4, 4.3812500000000005)"
