,Eddie Munster,Painter Of Light,Time To Go,Masie Jane,Dark Secret,Lucy The Weapon,Brockton Bomber,First Offence
10-01-2023 18:00:30.579368,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:31.970451,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:33.278751,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:34.519861,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:35.695313,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:36.902401,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:38.021494,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.84)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 6.38)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:39.182897,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.559375)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:40.290346,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:41.427353,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:42.537494,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:43.651234,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:44.715466,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:45.741896,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:46.894246,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:48.074099,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:49.254223,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:50.470517,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:51.749849,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:52.952278,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:54.084604,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.56, 1.885)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:55.210216,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:56.407393,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:57.470139,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:00:58.703253,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:00.162687,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:01.524086,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.906666666666666)","(1.8, 2.64, 1.8225757575757577)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:02.684773,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.56, 1.8781818181818182)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
10-01-2023 18:01:03.833837,"(26.0, 120.0, 73.5)","(4.2, 7.0, 6.15625)","(1.8, 2.56, 1.8367857142857142)","(15.0, 48.0, 26.666666666666664)","(6.0, 10.5, 7.275)","(5.5, 12.5, 10.618181818181817)","(41.0, 240.0, 93.0)","(19.0, 50.0, 28.333333333333336)"
