,Radley Erskin,Gold On Black,Goddess Of War,Jerrys Mate,Willina Charm,Bundy Traveller,Oh So Orson,Toppers The One
11-01-2023 11:06:46.556312,"(1.75, 1.97, 1.7723529411764707)","(2.9, 4.5, 4.142857142857143)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.178571428571427)","(13.0, 27.0, 22.46666666666667)","(10.0, 19.0, 12.357142857142858)","(15.0, 60.0, 57.800000000000004)","(31.0, 300.0, 240.0)"
11-01-2023 11:06:47.692174,"(1.75, 1.96, 1.8533333333333333)","(2.9, 4.5, 4.171428571428572)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.178571428571427)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.5, 12.086206896551724)","(15.0, 60.0, 57.800000000000004)","(31.0, 310.0, 240.0)"
11-01-2023 11:06:48.841735,"(1.75, 1.96, 1.8533333333333333)","(2.9, 4.5, 4.171428571428572)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.178571428571427)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.5, 12.277777777777779)","(15.0, 60.0, 57.800000000000004)","(31.0, 310.0, 182.85714285714286)"
11-01-2023 11:06:49.957482,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.27)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.178571428571427)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.222222222222221)","(15.0, 60.0, 57.800000000000004)","(31.0, 390.0, 182.85714285714286)"
11-01-2023 11:06:51.037962,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.2375)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 18.85)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.222222222222221)","(15.0, 60.0, 57.800000000000004)","(31.0, 390.0, 182.85714285714286)"
11-01-2023 11:06:52.164818,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.28)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.0625)","(15.0, 65.0, 62.46666666666667)","(31.0, 380.0, 286.66666666666663)"
11-01-2023 11:06:53.422033,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.2375)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.0625)","(15.0, 65.0, 60.25)","(31.0, 380.0, 286.66666666666663)"
11-01-2023 11:06:54.675105,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.28)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 286.66666666666663)"
11-01-2023 11:06:55.859641,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.2375)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 240.0)"
11-01-2023 11:06:57.127189,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 3.7333333333333334)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 182.85714285714286)"
11-01-2023 11:06:58.243618,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.2125)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 390.0, 182.85714285714286)"
11-01-2023 11:06:59.413641,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 286.66666666666663)"
11-01-2023 11:07:00.677561,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:01.895617,"(1.75, 1.95, 1.843125)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:02.975194,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:04.076228,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:05.156587,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.335714285714285)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:06.211392,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:07.202861,"(1.75, 1.95, 1.779)","(2.9, 4.5, 4.225)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
11-01-2023 11:07:08.219414,"(1.75, 1.95, 1.779)","(2.9, 4.5, 3.925)","(21.0, 50.0, 40.857142857142854)","(14.0, 26.0, 17.6)","(13.0, 27.0, 22.46666666666667)","(10.0, 14.0, 12.083333333333334)","(15.0, 65.0, 60.25)","(31.0, 380.0, 245.0)"
