,Slay Queen,Mean Sam,Akimbo,Petite Olga,Francis Geoffrey,Hit List,Queen Norma
06-01-2023 11:52:46.664871,"(1.5, 2.14, 2.0)","(16.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(15.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:47.715099,"(1.5, 2.14, 2.0)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:48.763182,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:49.837640,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:50.876593,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:51.917755,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:52.984431,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:53.956283,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:54.882697,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:55.875386,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
