,Alternate Shot,Sour Lemon,Epic Rooster,Maisey,Diamond Chipper,Trousseau,Goldstar Larson,Shane Baxter
12-01-2023 16:33:12.754979,"(1.4, 2.6, 2.24)","(19.0, 190.0, 71.26923076923077)","(4.0, 8.0, 7.242857142857143)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:13.892114,"(1.4, 2.58, 2.2675)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 7.242857142857143)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:15.056541,"(1.4, 2.58, 2.1953846153846155)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 7.242857142857143)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:16.213575,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:17.492261,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:18.684043,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:19.860857,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:20.915502,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:22.031007,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:23.190408,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:24.321207,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:25.469460,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:26.711196,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:27.868059,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:29.113430,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:30.234735,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:31.335098,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:32.396834,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
