,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 13:01:13.827728,"(21.0, 38.0, 31.88888888888889)","(4.8, 5.2, 4.956521739130435)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.244444444444445)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 28.0, 26.375)","(3.2, 3.65, 3.5583333333333336)"
14-12-2022 13:01:15.167793,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.2, 4.956521739130435)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.244444444444445)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 32.0, 26.375)","(3.2, 3.65, 3.5583333333333336)"
14-12-2022 13:01:16.565873,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.2, 4.956521739130435)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 32.0, 27.2)","(3.2, 3.65, 3.5854166666666667)"
14-12-2022 13:01:17.945788,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.1, 4.957894736842105)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.066666666666666)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 30.0, 27.2)","(3.2, 3.7, 3.5854166666666667)"
14-12-2022 13:01:19.291584,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.1, 4.957894736842105)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.066666666666666)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 30.0, 28.833333333333336)","(3.2, 3.7, 3.6276315789473688)"
14-12-2022 13:01:20.550569,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.1, 4.957894736842105)","(31.0, 120.0, 101.0)","(6.5, 8.6, 7.933333333333334)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.1937500000000005)","(12.0, 19.0, 18.3)","(15.0, 30.0, 27.11764705882353)","(3.2, 3.7, 3.533333333333333)"
14-12-2022 13:01:21.778084,"(21.0, 38.0, 31.88888888888889)","(4.6, 5.1, 4.8133333333333335)","(31.0, 120.0, 101.0)","(6.5, 8.6, 7.933333333333334)","(11.0, 15.0, 14.775)","(19.0, 48.0, 44.0)","(5.0, 6.4, 6.239024390243903)","(12.0, 19.0, 18.3)","(15.0, 30.0, 28.333333333333332)","(3.2, 3.7, 3.5833333333333335)"
14-12-2022 13:01:23.026522,"(21.0, 38.0, 31.88888888888889)","(4.6, 4.9, 4.8133333333333335)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.0)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.2625)","(12.0, 19.0, 18.363636363636363)","(15.0, 29.0, 25.11111111111111)","(3.2, 3.7, 3.5833333333333335)"
14-12-2022 13:01:24.307302,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.8133333333333335)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.0)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.2625)","(12.0, 19.0, 18.363636363636363)","(15.0, 29.0, 25.11111111111111)","(3.2, 3.7, 3.566666666666667)"
14-12-2022 13:01:25.707770,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.0)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.2625)","(12.0, 19.0, 18.363636363636363)","(15.0, 29.0, 25.11111111111111)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:27.018319,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.0)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.159375000000001)","(12.0, 19.0, 18.363636363636363)","(15.0, 29.0, 25.11111111111111)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:28.327147,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.0)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.086842105263158)","(12.0, 19.0, 18.363636363636363)","(15.0, 29.0, 26.083333333333332)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:29.619477,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 7.905263157894737)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.4, 6.088888888888889)","(12.0, 19.0, 18.973684210526315)","(15.0, 29.0, 27.11111111111111)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:31.016730,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.8, 7.966666666666667)","(11.0, 15.0, 14.804347826086957)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.12)","(12.0, 19.5, 18.357142857142858)","(15.0, 28.0, 27.11111111111111)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:32.450007,"(21.0, 50.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.175)","(11.0, 15.0, 14.571428571428571)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.945454545454545)","(12.0, 19.5, 18.5)","(16.0, 28.0, 27.703703703703702)","(3.2, 3.7, 3.5352941176470587)"
14-12-2022 13:01:33.802227,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.175)","(11.0, 15.0, 14.76923076923077)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.945454545454545)","(12.0, 19.5, 18.875)","(16.0, 28.0, 27.703703703703702)","(3.2, 3.7, 3.6339622641509437)"
14-12-2022 13:01:35.094037,"(21.0, 38.0, 32.5)","(4.6, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.353846153846154)","(11.0, 15.0, 14.76923076923077)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.977777777777778)","(12.0, 19.5, 18.875)","(16.0, 28.0, 27.703703703703702)","(3.2, 3.7, 3.591304347826087)"
14-12-2022 13:01:36.478977,"(21.0, 38.0, 32.5)","(4.4, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.353846153846154)","(11.0, 15.0, 14.76923076923077)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.977777777777778)","(12.0, 19.5, 18.714285714285715)","(16.0, 28.0, 27.333333333333332)","(3.2, 3.7, 3.5815789473684214)"
14-12-2022 13:01:37.718171,"(21.0, 38.0, 32.5)","(4.4, 4.9, 4.81025641025641)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.353846153846154)","(11.0, 15.0, 14.842105263157894)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.0375)","(12.0, 19.0, 18.714285714285715)","(16.0, 28.0, 27.333333333333332)","(3.2, 3.7, 3.5815789473684214)"
14-12-2022 13:01:38.996031,"(21.0, 38.0, 32.5)","(4.4, 4.8, 4.716129032258064)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.353846153846154)","(11.0, 15.0, 14.842105263157894)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.0375)","(12.0, 19.0, 18.714285714285715)","(16.0, 28.0, 27.333333333333332)","(3.2, 3.7, 3.5815789473684214)"
14-12-2022 13:01:40.314261,"(21.0, 38.0, 32.5)","(4.4, 4.8, 4.716129032258064)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.353846153846154)","(11.0, 15.0, 14.842105263157894)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.0375)","(12.0, 19.0, 18.714285714285715)","(16.0, 28.0, 27.647058823529413)","(3.2, 3.7, 3.5377358490566038)"
14-12-2022 13:01:41.727830,"(21.0, 38.0, 32.5)","(4.4, 4.8, 4.66125)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.257142857142856)","(11.0, 15.0, 14.842105263157894)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.0375)","(12.0, 19.0, 18.285714285714285)","(16.0, 28.0, 29.264705882352942)","(3.2, 3.7, 3.596875)"
14-12-2022 13:01:43.044574,"(21.0, 38.0, 32.5)","(4.4, 4.7, 4.604761904761905)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.842105263157894)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.9523809523809526)","(12.0, 18.5, 18.285714285714285)","(16.0, 30.0, 29.264705882352942)","(3.2, 3.7, 3.596875)"
14-12-2022 13:01:44.989138,"(21.0, 38.0, 32.5)","(4.4, 4.7, 4.570967741935484)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.5)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.9523809523809526)","(12.0, 18.5, 18.285714285714285)","(16.0, 30.0, 29.264705882352942)","(3.2, 3.75, 3.7363636363636363)"
14-12-2022 13:01:47.050572,"(21.0, 38.0, 32.5)","(4.4, 4.7, 4.570967741935484)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.5)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.008823529411765)","(12.0, 21.0, 19.444444444444443)","(16.0, 30.0, 29.285714285714285)","(3.2, 3.75, 3.7363636363636363)"
14-12-2022 13:01:49.650707,"(21.0, 38.0, 32.5)","(4.4, 4.7, 4.6)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.5)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.963636363636364)","(12.0, 20.0, 19.642857142857142)","(17.0, 29.0, 28.724137931034484)","(3.2, 3.8, 3.7857142857142856)"
14-12-2022 13:01:51.739255,"(21.0, 38.0, 41.375)","(4.4, 4.7, 4.6)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.5)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.963636363636364)","(12.0, 20.0, 19.214285714285715)","(17.0, 29.0, 28.46666666666667)","(3.2, 3.8, 3.776470588235294)"
14-12-2022 13:01:53.806651,"(21.0, 50.0, 32.0)","(4.4, 4.7, 4.6)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.963636363636364)","(12.0, 19.5, 19.214285714285715)","(17.0, 29.0, 28.6)","(3.2, 3.75, 3.7451612903225806)"
14-12-2022 13:01:55.296562,"(21.0, 38.0, 32.0)","(4.4, 4.7, 4.6)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 5.963636363636364)","(12.0, 19.5, 19.214285714285715)","(17.0, 29.0, 28.6)","(3.2, 3.75, 3.7451612903225806)"
14-12-2022 13:01:56.896218,"(21.0, 38.0, 32.0)","(4.4, 4.7, 4.6)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 6.2, 6.008823529411765)","(12.0, 19.5, 18.833333333333332)","(17.0, 29.0, 27.7)","(3.2, 3.75, 3.7384615384615385)"
14-12-2022 13:01:58.493908,"(21.0, 38.0, 32.0)","(4.4, 4.7, 4.6312500000000005)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.272)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 5.8, 5.729787234042553)","(12.0, 19.0, 18.85)","(17.0, 28.0, 27.7)","(3.2, 3.8, 3.7555555555555555)"
14-12-2022 13:01:59.837465,"(21.0, 38.0, 32.0)","(4.4, 4.7, 4.6312500000000005)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.272)","(11.0, 15.0, 14.735294117647058)","(19.0, 48.0, 44.44444444444444)","(5.0, 5.8, 5.729787234042553)","(12.0, 19.0, 18.85)","(17.0, 28.0, 27.0)","(3.2, 3.8, 3.6670212765957446)"
14-12-2022 13:02:01.124052,"(21.0, 38.0, 32.0)","(4.2, 4.8, 4.71)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.066666666666666)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 46.400000000000006)","(5.0, 5.8, 5.729787234042553)","(12.0, 19.0, 20.363636363636363)","(17.0, 28.0, 27.142857142857142)","(3.2, 3.75, 3.619565217391304)"
14-12-2022 13:02:02.467373,"(21.0, 38.0, 33.0)","(4.2, 4.9, 4.65)","(31.0, 120.0, 101.0)","(6.5, 8.8, 8.344827586206897)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 44.2)","(5.0, 5.8, 5.729787234042553)","(12.0, 21.0, 19.5)","(17.0, 30.0, 29.5)","(3.2, 3.75, 3.620967741935484)"
14-12-2022 13:02:04.300048,"(21.0, 38.0, 29.0)","(4.2, 4.9, 4.946511627906976)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.549999999999999)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 42.85714285714286)","(5.0, 5.8, 5.729787234042553)","(12.0, 21.0, 18.666666666666668)","(17.0, 32.0, 28.11111111111111)","(3.2, 3.75, 3.6547619047619047)"
14-12-2022 13:02:05.711447,"(21.0, 38.0, 29.0)","(4.2, 5.1, 4.954166666666667)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.549999999999999)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 44.4)","(5.0, 5.8, 5.729787234042553)","(12.0, 21.0, 18.666666666666668)","(17.0, 32.0, 28.11111111111111)","(3.2, 3.75, 3.568181818181818)"
14-12-2022 13:02:07.015780,"(21.0, 38.0, 29.0)","(4.2, 5.1, 4.954166666666667)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.549999999999999)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 44.4)","(5.0, 5.8, 5.738888888888889)","(12.0, 21.0, 18.5)","(18.0, 32.0, 28.0)","(3.2, 3.75, 3.641304347826087)"
14-12-2022 13:02:08.297483,"(21.0, 38.0, 29.0)","(4.2, 5.1, 4.9833333333333325)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.5)","(11.0, 15.0, 14.833333333333334)","(19.0, 48.0, 39.0)","(5.0, 5.8, 5.738888888888889)","(12.0, 20.0, 18.5)","(18.0, 30.0, 28.0)","(3.2, 3.75, 3.6750000000000003)"
14-12-2022 13:02:09.489079,"(21.0, 38.0, 29.0)","(4.2, 5.1, 4.9833333333333325)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.5)","(11.0, 15.0, 14.833333333333334)","(19.0, 46.0, 39.0)","(5.0, 5.8, 5.738888888888889)","(12.0, 20.0, 18.5)","(18.0, 30.0, 28.0)","(3.2, 3.7, 3.6750000000000003)"
14-12-2022 13:02:10.705746,"(21.0, 38.0, 29.0)","(4.2, 5.1, 4.887499999999999)","(31.0, 120.0, 101.0)","(6.5, 8.6, 8.5)","(11.0, 15.0, 14.727272727272727)","(19.0, 46.0, 39.0)","(5.0, 5.8, 5.738888888888889)","(12.0, 20.0, 18.5)","(18.0, 30.0, 26.8)","(3.2, 3.75, 3.6403846153846153)"
14-12-2022 13:02:12.030100,"(21.0, 50.0, 44.69230769230769)","(4.2, 5.1, 4.887499999999999)","(31.0, 120.0, 111.55555555555556)","(6.5, 8.6, 8.428571428571429)","(11.0, 15.0, 14.727272727272727)","(19.0, 46.0, 39.0)","(5.0, 5.8, 5.729787234042553)","(12.0, 20.0, 18.5)","(18.0, 30.0, 29.157894736842106)","(3.2, 3.75, 3.6403846153846153)"
14-12-2022 13:02:13.303703,"(21.0, 38.0, 34.07142857142857)","(4.2, 5.1, 4.73953488372093)","(31.0, 120.0, 111.77777777777777)","(6.5, 8.6, 8.428571428571429)","(11.0, 15.0, 15.375)","(19.0, 46.0, 36.8)","(5.0, 5.8, 5.738888888888889)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.2)","(3.2, 3.75, 3.638235294117647)"
14-12-2022 13:02:14.623499,"(21.0, 38.0, 35.25)","(4.2, 5.0, 4.826086956521739)","(31.0, 120.0, 96.0)","(6.5, 8.6, 8.428571428571429)","(11.0, 16.5, 15.521739130434783)","(19.0, 44.0, 36.8)","(5.0, 5.8, 5.742857142857143)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.2)","(3.2, 3.75, 3.638235294117647)"
14-12-2022 13:02:15.962631,"(21.0, 38.0, 31.75)","(4.2, 4.9, 4.878571428571429)","(31.0, 120.0, 85.0)","(6.5, 8.6, 8.428571428571429)","(11.0, 16.5, 14.863636363636363)","(19.0, 44.0, 37.0)","(4.8, 5.8, 5.742857142857143)","(12.0, 20.0, 18.8)","(18.0, 30.0, 28.0)","(3.2, 3.75, 3.6348484848484848)"
14-12-2022 13:02:17.358708,"(21.0, 38.0, 31.75)","(4.2, 4.9, 4.886956521739131)","(31.0, 120.0, 106.0)","(6.5, 8.6, 8.485714285714286)","(11.0, 16.5, 14.333333333333334)","(19.0, 42.0, 36.0)","(4.8, 5.8, 5.7749999999999995)","(12.0, 20.0, 18.8)","(18.0, 30.0, 28.0)","(3.2, 3.75, 3.6772727272727272)"
14-12-2022 13:02:18.682477,"(21.0, 38.0, 33.0)","(4.2, 5.0, 4.833333333333333)","(31.0, 120.0, 85.0)","(6.5, 8.6, 8.446153846153846)","(11.0, 16.0, 14.333333333333334)","(19.0, 42.0, 36.0)","(4.8, 6.0, 5.685714285714286)","(12.0, 20.0, 18.8)","(18.0, 30.0, 28.0)","(3.2, 3.75, 3.6375)"
14-12-2022 13:02:19.932353,"(21.0, 38.0, 33.0)","(4.2, 5.0, 4.911111111111111)","(31.0, 120.0, 85.0)","(6.5, 8.6, 8.0)","(11.0, 16.0, 14.911764705882353)","(19.0, 42.0, 31.0)","(4.8, 5.9, 5.685714285714286)","(12.0, 20.0, 18.8)","(18.0, 30.0, 28.428571428571427)","(3.2, 3.75, 3.69375)"
14-12-2022 13:02:21.084324,"(21.0, 38.0, 34.25)","(4.2, 5.0, 4.940740740740741)","(31.0, 120.0, 85.0)","(6.5, 8.4, 8.0)","(11.0, 15.5, 14.911764705882353)","(19.0, 32.0, 30.5)","(4.8, 5.9, 5.685714285714286)","(12.0, 20.0, 18.8)","(18.0, 32.0, 30.75)","(3.2, 3.75, 3.726923076923077)"
14-12-2022 13:02:22.306080,"(21.0, 38.0, 31.92)","(4.2, 5.0, 4.82)","(31.0, 120.0, 85.0)","(6.5, 8.4, 8.0)","(11.0, 15.5, 14.911764705882353)","(19.0, 32.0, 30.5)","(4.8, 5.9, 5.685714285714286)","(12.0, 20.0, 18.8)","(18.0, 32.0, 30.4375)","(3.2, 3.75, 3.726923076923077)"
14-12-2022 13:02:23.482019,"(21.0, 38.0, 31.92)","(4.2, 5.0, 4.88235294117647)","(31.0, 120.0, 85.0)","(6.5, 8.4, 8.0)","(11.0, 15.5, 14.911764705882353)","(19.0, 32.0, 29.82608695652174)","(4.8, 5.9, 5.685714285714286)","(12.0, 20.0, 18.8)","(18.0, 32.0, 30.4375)","(3.2, 3.75, 3.6719999999999997)"
14-12-2022 13:02:24.816122,"(21.0, 38.0, 32.93333333333333)","(4.2, 5.1, 4.815686274509804)","(31.0, 120.0, 85.0)","(6.5, 8.4, 8.0)","(11.0, 15.5, 14.911764705882353)","(19.0, 30.0, 30.25)","(4.8, 5.9, 6.094736842105263)","(12.0, 20.0, 18.8)","(18.0, 32.0, 30.4375)","(3.2, 3.75, 3.6719999999999997)"
14-12-2022 13:02:26.075644,"(21.0, 38.0, 32.93333333333333)","(4.2, 5.1, 4.815686274509804)","(31.0, 120.0, 85.0)","(6.5, 8.4, 8.2)","(11.0, 15.5, 14.964285714285714)","(19.0, 32.0, 29.0)","(4.8, 6.2, 5.817142857142857)","(12.0, 20.0, 18.8)","(18.0, 32.0, 29.57142857142857)","(3.2, 3.75, 3.6907407407407407)"
14-12-2022 13:02:27.377314,"(21.0, 38.0, 32.51428571428571)","(4.2, 5.1, 4.815686274509804)","(31.0, 120.0, 85.0)","(6.5, 8.6, 8.446153846153846)","(11.0, 15.5, 14.666666666666666)","(19.0, 30.0, 27.818181818181817)","(4.8, 6.0, 5.733333333333333)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.57142857142857)","(3.2, 3.75, 3.7111111111111112)"
14-12-2022 13:02:28.681852,"(21.0, 38.0, 32.51428571428571)","(4.2, 5.1, 4.815686274509804)","(31.0, 120.0, 85.0)","(6.5, 8.6, 7.666666666666667)","(11.0, 15.5, 14.5)","(19.0, 30.0, 27.88888888888889)","(4.8, 6.0, 5.8)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.57142857142857)","(3.2, 3.75, 3.76)"
14-12-2022 13:02:29.881416,"(21.0, 38.0, 32.57142857142857)","(4.2, 5.1, 4.815686274509804)","(31.0, 120.0, 85.0)","(6.5, 8.6, 7.666666666666667)","(11.0, 15.0, 14.5)","(19.0, 29.0, 27.571428571428573)","(4.8, 5.9, 5.827272727272727)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.57142857142857)","(3.2, 3.8, 3.776)"
14-12-2022 13:02:31.078942,"(21.0, 38.0, 32.57142857142857)","(4.2, 5.1, 4.8619047619047615)","(31.0, 120.0, 110.0)","(6.5, 8.6, 8.25)","(11.0, 15.0, 14.5)","(18.0, 29.0, 27.909090909090907)","(4.8, 5.9, 5.909090909090909)","(12.0, 20.0, 18.8)","(18.0, 30.0, 29.333333333333332)","(3.2, 3.8, 3.776)"
14-12-2022 13:02:32.338842,"(21.0, 50.0, 32.8)","(4.2, 5.1, 4.6909090909090905)","(31.0, 120.0, 114.61538461538461)","(6.5, 8.6, 7.745454545454545)","(11.0, 15.0, 14.5)","(18.0, 29.0, 26.0)","(4.8, 6.0, 5.966666666666667)","(12.0, 20.0, 18.8)","(18.0, 30.0, 31.6)","(3.2, 3.8, 3.7454545454545456)"
14-12-2022 13:02:33.505977,"(21.0, 38.0, 32.8)","(4.2, 5.1, 4.6909090909090905)","(31.0, 120.0, 113.0)","(6.5, 8.4, 7.745454545454545)","(11.0, 15.0, 14.5)","(18.0, 28.0, 24.666666666666668)","(4.8, 6.2, 5.966666666666667)","(12.0, 20.0, 18.5)","(18.0, 34.0, 29.8)","(3.2, 3.75, 3.840909090909091)"
14-12-2022 13:02:34.907666,"(21.0, 38.0, 32.8)","(4.2, 5.1, 4.6909090909090905)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.4, 7.745454545454545)","(11.0, 15.0, 14.5)","(18.0, 28.0, 24.333333333333332)","(4.8, 6.2, 5.966666666666667)","(12.0, 20.0, 18.5)","(18.0, 34.0, 30.11111111111111)","(3.2, 3.85, 3.825)"
14-12-2022 13:02:36.207072,"(21.0, 38.0, 32.8)","(4.2, 5.1, 4.6909090909090905)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.4, 7.745454545454545)","(11.0, 15.0, 14.7)","(18.0, 27.0, 25.88888888888889)","(4.8, 6.2, 5.933333333333334)","(12.0, 20.0, 18.846153846153847)","(18.0, 34.0, 29.8)","(3.2, 3.95, 3.7833333333333337)"
14-12-2022 13:02:37.586351,"(21.0, 38.0, 31.333333333333332)","(4.2, 5.0, 4.641269841269841)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.2, 7.811764705882354)","(11.0, 15.5, 14.552631578947368)","(18.0, 27.0, 25.88888888888889)","(4.8, 6.2, 5.933333333333334)","(12.0, 20.0, 18.846153846153847)","(18.0, 34.0, 32.285714285714285)","(3.2, 3.95, 3.923684210526316)"
14-12-2022 13:02:38.901123,"(21.0, 38.0, 31.333333333333332)","(4.2, 5.0, 4.641269841269841)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.4, 7.5)","(11.0, 15.5, 14.5)","(18.0, 27.0, 25.272727272727273)","(4.6, 6.2, 5.733333333333333)","(12.0, 20.0, 19.0)","(18.0, 34.0, 29.333333333333332)","(3.2, 3.95, 3.7794117647058822)"
14-12-2022 13:02:40.182630,"(21.0, 38.0, 29.9)","(4.2, 5.0, 4.641269841269841)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.4, 7.5)","(11.0, 15.0, 14.5)","(18.0, 26.0, 25.272727272727273)","(4.6, 6.2, 5.733333333333333)","(12.0, 20.0, 19.142857142857142)","(18.0, 32.0, 31.0)","(3.2, 3.95, 3.89921875)"
14-12-2022 13:02:41.404424,"(21.0, 38.0, 29.9)","(4.2, 5.0, 4.641269841269841)","(31.0, 120.0, 112.22222222222223)","(6.5, 8.4, 7.6173913043478265)","(11.0, 15.0, 14.5)","(18.0, 26.0, 25.272727272727273)","(4.6, 6.2, 5.733333333333333)","(12.0, 20.0, 19.142857142857142)","(18.0, 32.0, 31.0)","(3.2, 3.95, 3.89921875)"
14-12-2022 13:02:42.728618,"(21.0, 38.0, 30.842105263157894)","(4.2, 5.0, 4.639393939393939)","(31.0, 120.0, 113.0)","(6.5, 8.2, 7.914285714285714)","(11.0, 15.0, 14.5)","(18.0, 26.0, 25.555555555555557)","(4.6, 6.2, 5.5777777777777775)","(12.0, 20.0, 19.333333333333332)","(18.0, 32.0, 31.11111111111111)","(3.2, 3.65, 3.875)"
14-12-2022 13:02:44.031495,"(21.0, 38.0, 30.842105263157894)","(4.2, 5.0, 4.643410852713178)","(31.0, 120.0, 113.0)","(6.5, 8.2, 7.914285714285714)","(11.0, 15.0, 14.5)","(18.0, 26.0, 25.555555555555557)","(4.6, 6.2, 5.846153846153846)","(12.0, 20.0, 19.333333333333332)","(18.0, 32.0, 29.555555555555557)","(3.2, 3.95, 3.7578947368421054)"
14-12-2022 13:02:45.466776,"(21.0, 38.0, 32.333333333333336)","(4.2, 5.0, 4.643410852713178)","(31.0, 120.0, 113.63636363636363)","(6.5, 8.2, 7.866666666666666)","(11.0, 15.5, 14.966666666666667)","(18.0, 26.0, 25.6)","(4.6, 6.0, 5.84)","(12.0, 20.0, 19.428571428571427)","(18.0, 30.0, 29.6)","(3.2, 3.9, 3.7666666666666666)"
14-12-2022 13:02:46.673532,"(21.0, 38.0, 32.56)","(4.2, 5.0, 4.664233576642335)","(31.0, 120.0, 113.63636363636363)","(6.5, 8.2, 7.866666666666666)","(11.0, 15.5, 15.166666666666666)","(18.0, 26.0, 25.6)","(4.6, 6.0, 5.68)","(12.0, 20.0, 19.428571428571427)","(18.0, 30.0, 29.6)","(3.2, 3.9, 3.825)"
