,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 12:59:57.171985,"(21.0, 42.0, 35.57142857142857)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.73913043478261)","(17.0, 48.0, 44.44444444444444)","(4.6, 5.7, 6.11875)","(11.0, 19.5, 17.714285714285715)","(16.0, 28.0, 26.18181818181818)","(3.2, 3.65, 3.4806451612903224)"
14-12-2022 12:59:58.638302,"(21.0, 42.0, 35.14285714285714)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 15.0, 14.0)","(17.0, 48.0, 44.0)","(4.6, 6.4, 5.8)","(11.0, 19.5, 17.714285714285715)","(16.0, 28.0, 21.333333333333332)","(3.2, 3.65, 3.454651162790698)"
14-12-2022 13:00:00.243271,"(21.0, 40.0, 33.5)","(5.0, 5.8, 5.565625)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.723076923076923)","(10.0, 14.5, 14.0)","(17.0, 48.0, 44.0)","(4.6, 6.2, 5.72)","(11.0, 19.5, 18.25)","(16.0, 27.0, 21.333333333333332)","(3.2, 3.65, 3.454651162790698)"
14-12-2022 13:00:01.726859,"(21.0, 40.0, 29.88888888888889)","(5.0, 5.8, 5.6)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 14.5, 14.0)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.96)","(11.0, 19.5, 19.045454545454547)","(16.0, 27.0, 23.90909090909091)","(3.2, 3.65, 3.466666666666667)"
14-12-2022 13:00:03.216717,"(21.0, 40.0, 29.88888888888889)","(5.0, 5.8, 5.6)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 14.5, 14.0)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.96)","(11.0, 19.5, 19.045454545454547)","(16.0, 27.0, 23.90909090909091)","(3.2, 3.65, 3.466666666666667)"
14-12-2022 13:00:04.642156,"(21.0, 40.0, 29.88888888888889)","(5.0, 5.8, 5.54)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 14.5, 14.68421052631579)","(18.0, 48.0, 44.0)","(4.6, 6.2, 6.0285714285714285)","(11.0, 19.5, 19.045454545454547)","(16.0, 27.0, 23.444444444444443)","(3.2, 3.65, 3.466666666666667)"
14-12-2022 13:00:05.993350,"(21.0, 40.0, 30.714285714285715)","(5.0, 5.8, 5.54)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 15.0, 14.68421052631579)","(18.0, 48.0, 44.0)","(4.6, 6.2, 6.0285714285714285)","(11.0, 19.5, 19.045454545454547)","(16.0, 27.0, 23.444444444444443)","(3.2, 3.65, 3.466666666666667)"
14-12-2022 13:00:07.535417,"(21.0, 40.0, 30.714285714285715)","(5.0, 5.8, 5.54)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 15.0, 14.4375)","(18.0, 48.0, 44.0)","(4.6, 6.2, 6.0)","(11.0, 19.5, 16.8)","(16.0, 27.0, 23.444444444444443)","(3.2, 3.65, 3.466666666666667)"
14-12-2022 13:00:09.016188,"(21.0, 40.0, 30.714285714285715)","(5.0, 5.8, 5.54)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 15.0, 14.625)","(18.0, 48.0, 44.0)","(4.6, 6.4, 5.866666666666667)","(11.0, 17.0, 18.25)","(16.0, 27.0, 22.75)","(3.2, 3.65, 3.4714285714285715)"
14-12-2022 13:00:10.478290,"(21.0, 40.0, 30.714285714285715)","(5.0, 5.8, 5.54)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.688888888888888)","(10.0, 15.0, 14.625)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.866666666666667)","(11.0, 20.0, 18.25)","(16.0, 26.0, 22.75)","(3.2, 3.6, 3.4714285714285715)"
14-12-2022 13:00:11.959981,"(21.0, 40.0, 30.714285714285715)","(5.0, 5.8, 5.5285714285714285)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.8)","(10.0, 15.0, 14.0)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.8)","(11.0, 20.0, 19.0)","(16.0, 26.0, 24.555555555555557)","(3.2, 3.6, 3.5250000000000004)"
14-12-2022 13:00:13.524888,"(21.0, 40.0, 28.529411764705884)","(5.0, 5.7, 5.5285714285714285)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.8)","(10.0, 14.5, 14.0)","(18.0, 48.0, 44.0)","(4.6, 6.2, 5.8)","(11.0, 19.5, 19.0)","(16.0, 26.0, 24.555555555555557)","(3.2, 3.6, 3.5250000000000004)"
14-12-2022 13:00:15.076100,"(21.0, 40.0, 28.529411764705884)","(5.0, 5.7, 5.4818181818181815)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.866666666666666)","(10.0, 14.5, 14.0)","(18.0, 48.0, 42.666666666666664)","(4.6, 6.2, 6.107692307692308)","(11.0, 19.5, 18.583333333333332)","(16.0, 26.0, 24.142857142857142)","(3.2, 3.6, 3.5250000000000004)"
14-12-2022 13:00:16.623223,"(21.0, 40.0, 28.529411764705884)","(5.0, 5.7, 5.427272727272728)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 7.933333333333333)","(10.0, 14.5, 14.3)","(18.0, 48.0, 42.666666666666664)","(4.6, 6.2, 6.217391304347826)","(11.0, 19.0, 18.583333333333332)","(16.0, 26.0, 24.142857142857142)","(3.2, 3.6, 3.4571428571428573)"
14-12-2022 13:00:18.581917,"(21.0, 40.0, 32.5)","(5.0, 5.7, 5.427272727272728)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.6, 8.0)","(10.0, 14.5, 14.5)","(18.0, 48.0, 42.666666666666664)","(4.6, 6.4, 5.933333333333334)","(11.0, 18.5, 17.75)","(16.0, 26.0, 24.142857142857142)","(3.2, 3.6, 3.4571428571428573)"
14-12-2022 13:00:20.370686,"(21.0, 38.0, 32.5)","(5.0, 5.7, 5.427272727272728)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.5)","(18.0, 48.0, 42.666666666666664)","(4.6, 6.2, 5.96)","(11.0, 18.5, 17.75)","(16.0, 26.0, 24.142857142857142)","(3.2, 3.6, 3.4571428571428573)"
14-12-2022 13:00:21.878168,"(21.0, 38.0, 32.5)","(5.0, 5.7, 5.427272727272728)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.5)","(18.0, 48.0, 43.42857142857143)","(4.6, 6.2, 5.888888888888888)","(11.0, 18.5, 17.75)","(16.0, 26.0, 24.38888888888889)","(3.2, 3.6, 3.4785714285714286)"
14-12-2022 13:00:23.885724,"(21.0, 38.0, 29.444444444444443)","(5.0, 5.7, 5.312903225806452)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.5)","(18.0, 48.0, 42.666666666666664)","(4.6, 6.2, 6.0600000000000005)","(11.0, 18.5, 17.75)","(16.0, 25.0, 23.75)","(3.2, 3.55, 3.5409090909090906)"
14-12-2022 13:00:25.593089,"(21.0, 38.0, 29.444444444444443)","(5.0, 5.7, 5.312903225806452)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.5)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.2, 6.114285714285715)","(11.0, 18.5, 18.807692307692307)","(16.0, 25.0, 23.0)","(3.2, 3.55, 3.4920454545454547)"
14-12-2022 13:00:27.312254,"(21.0, 38.0, 29.428571428571427)","(5.0, 5.7, 5.333333333333333)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.625)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.2, 6.170833333333333)","(11.0, 19.5, 18.285714285714285)","(16.0, 25.0, 23.5)","(3.2, 3.6, 3.459090909090909)"
14-12-2022 13:00:29.046300,"(21.0, 38.0, 29.428571428571427)","(5.0, 5.6, 5.277777777777778)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.0)","(10.0, 15.0, 14.5)","(19.0, 48.0, 43.42857142857143)","(4.6, 6.4, 6.228125)","(11.0, 19.0, 18.375)","(16.0, 25.0, 23.5)","(3.2, 3.6, 3.41)"
14-12-2022 13:00:30.611234,"(21.0, 38.0, 29.428571428571427)","(5.0, 5.6, 5.25)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.276923076923078)","(10.0, 15.0, 14.71875)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.228125)","(11.0, 19.0, 18.285714285714285)","(16.0, 25.0, 23.5)","(3.2, 3.6, 3.41)"
14-12-2022 13:00:32.205076,"(21.0, 38.0, 33.38461538461539)","(5.0, 5.6, 5.25)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.71875)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 17.75)","(16.0, 25.0, 24.333333333333332)","(3.2, 3.6, 3.5250000000000004)"
14-12-2022 13:00:33.736656,"(21.0, 38.0, 30.142857142857142)","(5.0, 5.5, 5.224242424242425)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.71875)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 18.5, 17.75)","(16.0, 25.0, 24.0)","(3.2, 3.6, 3.5347826086956524)"
14-12-2022 13:00:35.304059,"(21.0, 38.0, 30.142857142857142)","(5.0, 5.5, 5.224242424242425)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.71875)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 18.5, 17.75)","(16.0, 26.0, 24.0)","(3.2, 3.6, 3.5347826086956524)"
14-12-2022 13:00:36.836969,"(21.0, 38.0, 30.142857142857142)","(5.0, 5.5, 5.11875)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.785714285714285)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 18.5, 17.75)","(16.0, 26.0, 24.0)","(3.2, 3.6, 3.5347826086956524)"
