,Highway Man,Block Busted,Lucretia Ann,Charizard,Too Much Trifle,Rapid Voyage,Tower Bell,Zipping Wreck
10,"[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 43, 764930), 2.8, 4.7]"
11,"[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 44, 893564), 2.8, 4.7]"
12,"[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 46, 22897), 2.8, 4.8]"
13,"[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 47, 161438), 2.8, 4.7]"
14,"[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 48, 283432), 2.8, 4.7]"
15,"[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 49, 404543), 2.8, 4.7]"
16,"[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 50, 539676), 2.8, 4.7]"
17,"[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 51, 660791), 2.8, 4.7]"
18,"[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 52, 802800), 2.8, 4.7]"
19,"[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 53, 934905), 2.8, 4.7]"
20,"[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 55, 75103), 2.8, 4.7]"
21,"[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 56, 209398), 2.8, 4.7]"
22,"[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 57, 339061), 2.8, 4.7]"
23,"[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 58, 472276), 2.8, 4.7]"
