,Seductive Angel,Fan Cool Unit,Jimary Decoder,Bugatti Moon,Jet Set Jack,Alinta Fire,Lees Bonus,Choose Well
08-12-2022 12:31:08.443372,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:09.420814,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:10.408884,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:11.374680,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:12.368254,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:13.344202,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:14.340166,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.341176470588236)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:15.345537,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.494736842105263)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:16.322817,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.742307692307692)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:17.281526,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.742307692307692)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
