,Lads On Fire,Balmain Juror,Style Council,Mott The Hoople,Blowin A Tune,Dragon Princess,Lenny Rocks Out,Aurora Damiro
09-01-2023 09:43:45.870092,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:46.936262,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:48.062267,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:49.197620,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:50.212616,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:51.312039,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:52.390430,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:53.469743,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:54.633604,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:55.730045,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:56.742544,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:57.776374,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:58.810156,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:43:59.912620,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:01.136245,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:02.260721,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:03.314851,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:04.376395,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:05.439111,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:06.535990,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
