,Divine Law,Wicked Mad,Bourbon Over Ice,Charlie Potatoes,More Please,Royal Spy,Subject To Change,Ridiculous,Close The Case,Manolito
12-01-2023 12:56:31.370812,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 11.625)","(15.0, 26.0, 21.25)","(9.0, 18.5, 15.833333333333334)","(7.5, 9.0, 8.2)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 20.0)","(20.0, 150.0, 116.5)","(4.2, 3.9, 3.85)"
12-01-2023 12:56:32.613669,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 11.625)","(15.0, 26.0, 21.25)","(9.0, 16.0, 15.833333333333334)","(7.5, 8.6, 8.2)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 20.0)","(20.0, 150.0, 116.5)","(4.2, 3.9, 3.8285714285714287)"
12-01-2023 12:56:33.879173,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 11.625)","(15.0, 26.0, 21.25)","(9.0, 16.0, 15.833333333333334)","(7.5, 8.6, 8.2)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 20.0)","(20.0, 150.0, 116.5)","(4.2, 4.0, 4.044444444444444)"
12-01-2023 12:56:35.182622,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 11.416666666666666)","(15.0, 26.0, 18.708333333333336)","(9.0, 16.0, 15.833333333333334)","(7.5, 8.6, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 20.0)","(20.0, 150.0, 130.85714285714286)","(4.2, 4.1, 3.825)"
12-01-2023 12:56:36.384811,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 14.0, 11.5)","(15.0, 26.0, 18.708333333333336)","(9.0, 16.0, 15.833333333333334)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 20.0)","(20.0, 150.0, 123.2)","(4.2, 4.0, 3.825)"
12-01-2023 12:56:37.604970,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 12.25)","(15.0, 25.0, 20.6)","(9.0, 16.0, 15.785714285714285)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 23.25)","(20.0, 150.0, 83.25)","(4.2, 4.0, 3.825)"
12-01-2023 12:56:38.875750,"(6.0, 7.6, 7.557142857142857)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 12.25)","(15.0, 24.0, 21.88888888888889)","(9.0, 16.0, 15.785714285714285)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 23.25)","(20.0, 150.0, 83.25)","(4.2, 4.0, 3.825)"
12-01-2023 12:56:40.289939,"(6.0, 7.6, 7.311999999999999)","(6.0, 11.0, 10.618181818181817)","(4.8, 13.5, 12.25)","(15.0, 24.0, 21.88888888888889)","(9.0, 16.0, 15.785714285714285)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 23.25)","(20.0, 150.0, 105.16666666666667)","(4.2, 4.0, 3.825)"
12-01-2023 12:56:41.855592,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.5, 12.25)","(15.0, 24.0, 21.88888888888889)","(9.0, 16.0, 15.785714285714285)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 23.25)","(20.0, 150.0, 105.16666666666667)","(4.4, 4.0, 3.825)"
12-01-2023 12:56:43.253199,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.5, 12.25)","(15.0, 24.0, 20.041666666666664)","(9.0, 16.0, 15.863636363636363)","(7.5, 8.4, 7.822222222222222)","(7.0, 9.8, 9.692307692307692)","(15.0, 32.0, 24.833333333333336)","(20.0, 150.0, 105.16666666666667)","(4.4, 4.0, 3.825)"
12-01-2023 12:56:44.507510,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.5, 12.25)","(15.0, 23.0, 19.458333333333336)","(9.0, 16.0, 15.863636363636363)","(7.5, 8.6, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 30.0, 22.0)","(20.0, 150.0, 116.25)","(4.4, 4.0, 3.98)"
12-01-2023 12:56:45.787966,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.0, 12.666666666666666)","(15.0, 22.0, 19.2)","(9.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(15.0, 30.0, 22.0)","(20.0, 150.0, 127.5)","(4.4, 4.0, 3.940816326530612)"
12-01-2023 12:56:47.311301,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.0, 12.666666666666666)","(15.0, 22.0, 20.727272727272727)","(9.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 22.0)","(20.0, 150.0, 127.5)","(4.4, 3.95, 3.940816326530612)"
12-01-2023 12:56:48.692324,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.618181818181817)","(5.0, 13.0, 12.666666666666666)","(15.0, 22.0, 20.727272727272727)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 22.0)","(20.0, 150.0, 128.63636363636363)","(4.4, 3.95, 3.940816326530612)"
12-01-2023 12:56:50.089925,"(6.0, 7.6, 7.2727272727272725)","(6.0, 11.0, 10.75294117647059)","(5.0, 13.0, 12.666666666666666)","(15.0, 21.0, 19.909090909090907)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.0)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 22.0)","(20.0, 140.0, 115.1)","(4.4, 3.95, 3.65)"
12-01-2023 12:56:51.448917,"(6.0, 7.6, 7.5)","(6.0, 11.0, 10.280000000000001)","(5.0, 13.0, 12.0)","(15.0, 21.0, 19.909090909090907)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.331428571428571)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 22.0)","(20.0, 140.0, 115.1)","(4.4, 3.9, 3.65)"
12-01-2023 12:56:52.776665,"(6.0, 7.6, 7.5)","(6.0, 11.0, 10.4)","(5.0, 13.0, 12.0)","(15.0, 21.0, 19.909090909090907)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.331428571428571)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 22.0)","(20.0, 140.0, 115.1)","(4.4, 3.9, 3.6166666666666667)"
12-01-2023 12:56:54.097966,"(6.0, 7.6, 7.55)","(6.0, 11.0, 10.4)","(5.0, 13.0, 12.0)","(15.0, 21.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.4, 8.142857142857142)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 24.666666666666664)","(20.0, 140.0, 126.16666666666667)","(4.4, 3.85, 3.481818181818182)"
12-01-2023 12:56:55.425290,"(6.0, 7.6, 7.55)","(6.0, 11.0, 10.4)","(5.0, 13.0, 12.0)","(15.0, 20.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.2, 8.142857142857142)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 24.666666666666664)","(20.0, 140.0, 126.16666666666667)","(4.4, 3.5, 3.481818181818182)"
12-01-2023 12:56:56.694126,"(6.0, 7.6, 7.55)","(6.0, 11.0, 10.4)","(5.0, 13.0, 12.0)","(15.0, 20.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.2, 8.142857142857142)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 24.666666666666664)","(20.0, 140.0, 126.16666666666667)","(4.4, 3.5, 3.481818181818182)"
12-01-2023 12:56:57.877606,"(6.0, 7.6, 7.55)","(6.0, 11.0, 10.4)","(5.0, 13.0, 12.0)","(15.0, 20.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.2, 8.142857142857142)","(7.0, 9.8, 9.692307692307692)","(14.0, 30.0, 24.666666666666664)","(20.0, 140.0, 126.16666666666667)","(4.4, 3.5, 3.481818181818182)"
12-01-2023 12:56:59.117538,"(6.0, 8.0, 7.846153846153847)","(6.0, 12.5, 11.428571428571429)","(5.0, 13.0, 12.25)","(15.0, 20.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.2, 7.933333333333333)","(7.0, 11.0, 10.200000000000001)","(14.0, 32.0, 23.25)","(20.0, 140.0, 78.0)","(4.4, 3.85, 3.745)"
12-01-2023 12:57:00.547738,"(6.0, 7.8, 7.676923076923077)","(6.0, 12.0, 11.6)","(5.0, 14.0, 11.5)","(15.0, 20.0, 19.09090909090909)","(10.0, 16.0, 15.863636363636363)","(7.5, 8.2, 7.999999999999999)","(7.0, 11.0, 10.6)","(14.0, 32.0, 23.25)","(20.0, 140.0, 98.5)","(4.4, 3.8, 3.730434782608696)"
