,Heza Starman,Complicated,Fullon,Major Monty Nz,Sokys Falcon,Tiger Cheddar,Jaffa Nz,Mangochililime,Glamors Symbol,Got The Goods
09-01-2023 14:36:25.410504,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:26.788402,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:28.146235,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:29.579584,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:30.947252,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:32.213896,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.26)","(4.4, 99999, 99990)"
09-01-2023 14:36:33.497304,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 12.18888888888889)","(4.4, 99999, 99990)"
09-01-2023 14:36:34.756475,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:36.020381,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:37.327340,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:38.586931,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:39.847356,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:41.033956,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:42.219821,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:43.458553,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:44.766512,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:46.048147,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:47.331677,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:48.691918,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:50.018438,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:51.213996,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:52.603897,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:53.927391,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:55.227688,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:56.612169,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:57.909952,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:36:59.217348,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:00.474726,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:01.736462,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:02.989281,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:04.212076,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:05.546865,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:06.866738,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
