,Lord Denzel,Willsintown,Weasel Nz,Game Keeper,Milly An Eyre Nz,Datsinahurri,Living Free,Our Dolly,Three Machs
07-12-2022 19:41:38.617929,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 300.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:40.034538,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 300.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:41.480137,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 300.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:42.883392,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 300.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:44.305667,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 310.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:45.917943,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 310.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:47.442398,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 310.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:48.933809,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 310.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:50.640751,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:52.302042,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:53.795710,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:55.419738,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:57.012393,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:58.511636,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:41:59.966522,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:01.452812,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:02.904525,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:04.397202,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:05.855352,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 12.75)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:07.321264,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.0, 11.409090909090908)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:08.820306,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.5, 11.5)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:10.295914,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.5, 11.5)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
07-12-2022 19:42:11.740271,"(3.8, 5.6, 5.107692307692307)","(101.0, 350.0, 250.0)","(101.0, 99999, 99990)","(81.0, 350.0, 299.0)","(4.6, 99999, 99990)","(9.0, 15.5, 12.227272727272727)","(2.8, 4.1, 3.7199999999999998)","(5.5, 7.6, 6.25)","(7.0, 10.5, 9.18)"
