,Teamplay Miss,Thats Hectic,Shaq Owes,Jingalong Lotte,Showtime Lydia,Ebby Von
16-12-2022 10:52:08.878241,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:10.005406,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:11.100259,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:12.211849,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:13.260387,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:14.324165,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:15.367012,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:16.516514,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:17.639458,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:18.875619,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:20.153047,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:21.284057,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:22.381768,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
