,Black Horizon,One More Time,Lethal Violet,Apache Vera,Zabil,Lornas Flying
14-12-2022 14:12:11.599595,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.771428571428571)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 12.3)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:12.553626,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.771428571428571)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 12.3)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:13.508063,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.514285714285714)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 12.3)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:14.452877,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.514285714285714)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 12.3)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:15.428356,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.685714285714286)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 12.3)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:16.440577,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.685714285714286)","(2.6, 3.25, 2.812)","(18.0, 65.0, 35.0)","(10.0, 24.0, 18.15)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:17.444401,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.685714285714286)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 18.15)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:18.468309,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.6000000000000005)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 18.15)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:19.439827,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:20.329981,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:21.269130,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:22.288694,"(3.6, 6.2, 4.122222222222222)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:23.351225,"(3.6, 6.2, 4.0)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:24.337273,"(3.6, 6.2, 4.0)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 13.2)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:25.240541,"(3.6, 6.2, 4.0)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 16.8125)","(4.2, 8.4, 6.24)"
14-12-2022 14:12:26.149560,"(3.6, 6.2, 4.0)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 16.8125)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:27.167004,"(3.6, 6.2, 4.126923076923077)","(4.0, 7.0, 5.061538461538461)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 16.8125)","(4.2, 8.4, 6.311111111111111)"
14-12-2022 14:12:28.129210,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 65.0, 35.0)","(10.0, 24.0, 16.8125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:29.101846,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:30.128651,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
