,Only You,Joshua Keeping,Teskey,Mickey Wow,Corless Crazy,Pacific Gold,Winlock Pete,Lee Keeping
09-01-2023 15:28:44.779526,"(13.0, 38.0, 23.3125)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.870909090909091)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:46.042304,"(13.0, 38.0, 23.625)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.870909090909091)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:47.357483,"(13.0, 38.0, 23.625)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.870909090909091)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:48.714357,"(13.0, 38.0, 23.625)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.870909090909091)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:49.990638,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.870909090909091)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:51.218028,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.45, 2.6408695652173915)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:52.511290,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.6408695652173915)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:53.868916,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.6408695652173915)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:55.230216,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.6408695652173915)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:56.475529,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.6408695652173915)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:57.809583,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.547441860465116)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:28:59.041759,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.547441860465116)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:00.310631,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.547441860465116)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:01.601153,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.7, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:02.817195,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:04.029160,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:05.296593,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:06.596846,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:07.949017,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:09.269418,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
