,Campbell Best,Whateley,Yellow Bow,Straytothepoolroom,Enemy Lines,Galvarino,Dothedealdylan,Manhattan Lass,Power To Bolt,The Ringmaster
10-01-2023 20:36:57.286681,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:36:58.712224,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:00.043381,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:01.337840,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:02.581189,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:03.870445,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:05.239266,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:06.494626,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:07.727693,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:09.010863,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
