,Action Now,Bellas Blessed,Rubys Angel,Consider Me Gone,Seldom Quits,Farmor Alfas,Despicable Josh,Stick Hunter
06-01-2023 14:57:02.543505,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:03.848628,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:05.147325,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:06.398380,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:07.571968,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:08.942219,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:10.323034,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:11.638938,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:13.112422,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:14.597977,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:15.916693,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:17.177464,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:18.353644,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:19.535845,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:20.638993,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 175.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:21.732522,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:22.972004,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
