,Aha Reaction Nz,Young Rooster,Aqua Sancta Nz,Mighty Flying Art Nz,Franco Hampton Nz,Hes Ideal,Cullenburn Nz,Diamonds N Cash Nz,Sunny Sanz,Like A Wildfire Nz,Ryley Major,The Shallows
08-01-2023 19:06:08.354328,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.162727272727273)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 15.75)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:09.824591,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1180000000000003)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 15.75)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:11.243620,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1180000000000003)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 15.75)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:12.627869,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1180000000000003)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 15.75)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:14.061406,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:15.434974,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:16.791628,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:18.108244,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:19.502866,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:20.807874,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:22.122035,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:23.498025,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:24.836928,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:26.140500,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:27.443073,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:28.790848,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:30.161210,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
08-01-2023 19:06:31.511340,"(31.0, 99999, 99990)","(81.0, 150.0, 132.5)","(101.0, 99999, 99990)","(61.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.2, 2.1)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 55.0, 35.0)","(2.6, 99999, 99990)","(10.0, 19.5, 16.0)","(18.0, 27.0, 24.375)"
