,Torque To The Max,The Crom,Risky Buziness,Furiosa,Perfect Feeling,Fly Cheval,La Pistola,Eagles Response,Mister Woodport,Bee Gees Best
10-01-2023 14:18:33.601041,"(12.0, 24.0, 16.666666666666668)","(19.0, 34.0, 27.0)","(11.0, 19.5, 15.6)","(10.0, 17.5, 14.5)","(19.0, 38.0, 25.333333333333332)","(12.0, 21.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.5, 14.7)","(4.2, 6.0, 5.433333333333334)","(2.15, 2.5, 2.42)"
10-01-2023 14:18:35.129726,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 19.0, 15.3)","(10.0, 17.5, 14.5)","(19.0, 36.0, 25.333333333333332)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.5, 14.7)","(4.2, 6.0, 5.433333333333334)","(2.15, 2.5, 2.42)"
10-01-2023 14:18:36.506734,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 36.0, 25.333333333333332)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.5, 14.7)","(4.2, 6.0, 5.433333333333334)","(2.15, 2.5, 2.42)"
10-01-2023 14:18:37.937575,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.404)"
10-01-2023 14:18:39.513173,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.3533333333333335)"
10-01-2023 14:18:41.142728,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.3533333333333335)"
10-01-2023 14:18:42.738233,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.3533333333333335)"
10-01-2023 14:18:44.302037,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.3533333333333335)"
10-01-2023 14:18:45.797812,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.3533333333333335)"
10-01-2023 14:18:47.295527,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
