,Gudgeon Pin,Good Charlotte,Get A Shout,Roma Bella,Prabaker,Pepperberry,Manawata,Dr Archer
07-12-2022 19:10:08.697922,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:09.758138,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:10.874327,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:12.074227,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:13.345282,"(2.0, 2.6, 2.3106666666666666)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:14.549330,"(2.0, 2.6, 2.3106666666666666)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:15.663996,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:16.823307,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:17.983801,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:19.191032,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:20.336342,"(2.0, 2.6, 2.1475675675675676)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:21.493511,"(2.0, 2.6, 2.1475675675675676)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:22.641343,"(2.0, 2.6, 2.1522222222222225)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:23.789624,"(2.0, 2.6, 2.1522222222222225)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:25.085635,"(2.0, 2.6, 2.1522222222222225)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:26.270038,"(2.0, 2.6, 2.1522222222222225)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
