,Spring Baron,Roy Rip,Dauntless,Zsa Zsa Express,Peta Stop,Coughlin,Candy Kaos,Tiny Sparkle
04-01-2023 13:13:51.707953,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:52.853746,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:54.033347,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:55.149090,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:56.227632,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:57.454929,"(13.0, 29.0, 24.0)","(17.0, 50.0, 35.45454545454545)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:58.633963,"(13.0, 29.0, 24.0)","(17.0, 50.0, 34.77272727272727)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:13:59.817039,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:01.126248,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:02.322470,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:03.568720,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:04.756529,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:05.906686,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:07.071892,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:08.245589,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:09.435010,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:10.599222,"(13.0, 29.0, 24.0)","(17.0, 50.0, 26.42857142857143)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:11.770746,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:12.960272,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:14.218466,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:15.363767,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:16.490962,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:17.648901,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:18.857455,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:19.981421,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:21.105577,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:22.223181,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.3)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
04-01-2023 13:14:23.411019,"(13.0, 29.0, 24.0)","(17.0, 50.0, 27.142857142857142)","(2.9, 5.3, 4.06)","(8.0, 17.0, 12.6)","(4.4, 7.0, 6.066666666666666)","(4.0, 7.0, 4.913636363636364)","(5.0, 7.6, 5.65)","(21.0, 65.0, 57.666666666666664)"
