,Wild Charlie,Todds Express,Commander Beven,Dixie Diner,Sick Bubblegum,Victoria Belle,Joyful Juggler,Bowser Boy
12-01-2023 18:44:50.698458,"(17.0, 65.0, 36.5625)","(9.0, 17.5, 9.75)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:51.862343,"(17.0, 65.0, 36.5625)","(9.0, 17.5, 9.75)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:52.979208,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:54.211443,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:55.431397,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:56.499611,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:57.525540,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:58.778154,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:44:59.963027,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:01.107658,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:02.239952,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
