,Tiggerlong Flyer,Six Speed Manual,Shadow Riot,Kanji Yield,Aston Lira,High Tribe Rico,Black Compass,Selynya Obi
14-12-2022 19:37:18.115197,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:19.210467,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:20.451228,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:21.754253,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:22.968325,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:24.191694,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:25.455833,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:26.749467,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:28.051542,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:29.276520,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:30.538980,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:31.731015,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:32.872166,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:34.052619,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:35.263728,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:36.431359,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:37.523213,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.6895798319327735)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:38.830967,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:40.135749,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:41.441105,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 63.6)"
14-12-2022 19:37:42.637942,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:43.880809,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:45.160551,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:46.462125,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:47.688466,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:48.890099,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:50.137854,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:51.386002,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:52.609847,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:53.859692,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.485454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:55.056726,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:56.218235,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:57.388869,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 41.90909090909091)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 14.666666666666668)","(26.0, 110.0, 57.07692307692307)"
14-12-2022 19:37:58.623379,"(11.0, 30.0, 26.3)","(18.0, 60.0, 33.4375)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 49.375)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:37:59.790584,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:00.968236,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:02.101052,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:03.253381,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:04.494714,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:05.642972,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:06.727339,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:07.953776,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:09.125032,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:10.165875,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:11.329094,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:12.590664,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:13.756921,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:14.883853,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:16.121255,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:17.386021,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:18.581438,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:19.761812,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:21.062941,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
