,Robell Ruby,Skylahs Misfit,Bugatti Hydro,My Reputation,Bokarm Nero,Tipple Valley,Kooringa Magic,Amber Jack
08-12-2022 13:24:41.579312,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 4.7, 3.524)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:42.778350,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 4.7, 2.8889655172413797)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:43.887020,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 4.9, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:44.976211,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:46.102011,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:47.229990,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:48.289562,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:49.296722,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9000000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:50.374798,"(3.1, 5.9, 4.139705882352941)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9355555555555557)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:51.455036,"(3.1, 5.9, 4.2375)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9355555555555557)","(5.5, 10.5, 8.733333333333334)"
